Group,Level
0,0
4,1
3,2
5,3
1,3
41,3
19,3
20,4
2,4
11,8
12,9
30,11
7,12
71,12
15,14
64,15
69,15
48,16
6,17
21,18
73,19
27,20
8,21
54,21
44,22
16,24
26,24
9,24
58,24
35,24
18,25
37,28
67,30
23,32
32,34
22,35
45,35
10,38
65,38
24,38
14,39
13,40
29,40
25,40
36,42
72,43
75,43
76,44
33,44
17,45
59,49
31,50
50,50
40,51
38,51
51,51
49,52
60,52
42,53
97,54
56,54
89,56
57,56
70,57
85,60
63,61
88,61
28,61
82,61
79,61
80,62
66,62
34,63
61,63
39,65
87,66
68,66
53,66
62,67
94,69
96,69
52,70
55,73
81,74
99,75
102,75
98,76
84,76
90,80
47,81
86,81
95,84
100,85
77,88
43,88
91,90
101,90
74,93
92,95
103,95
46,98
105,98
83,99
107,99
119,100
93,101
106,102
114,103
78,104
111,107
118,109
112,109
116,112
109,112
120,114
127,115
115,116
108,117
122,118
129,118
104,119
121,119
117,123
131,124
126,126
128,127
123,128
110,130
113,130
134,130
136,131
130,132
133,132
132,133
135,136
137,138
124,139
125,141
140,145
143,148
141,149
139,150
138,151
144,152
142,152
146,153
145,157
147,159
148,161
149,177
151,177
150,177
