EngWord,NldWord,Group
side,kant,0
hand,hand,0
external,extern,0
department,afdeling,0
sector,sector,0
quality,kwaliteit,0
aspect,aspect,0
attention,aandacht,0
surface,oppervlak,0
foil,folie,0
feature,voorzien zijn van,1
safety feature,Veiligheids optie,1
downside,nadeel,1
calling card,visitekaartje,1
texture,textuur,1
badge,insigne,1
contour,contour,1
excellence,uitmuntendheid,1
feature of speech,kenmerk van spraak,1
sex characteristic,geslachtskenmerk,1
attraction,aantrekkingskracht,2
virilism,virilisme,2
tourist attraction,toeristische attractie,2
centerpiece,middelpunt,2
invariant,onveranderbaar,2
secondary sex characteristic,secundair geslachtskenmerk,2
primary sex characteristic,primaire geslachtskenmerk,2
peculiarity,eigenaardigheid,2
