Group,Level
0,0
3,0
1,0
13,1
2,1
4,1
22,1
64,2
24,2
5,2
63,3
6,3
58,3
15,3
17,3
14,4
7,4
16,4
76,5
23,5
18,6
8,6
73,6
9,7
71,7
54,7
10,7
53,8
39,8
29,8
30,9
115,10
28,10
219,11
135,11
19,11
78,12
43,13
87,13
38,13
35,13
42,14
67,14
25,14
20,14
99,14
234,14
266,15
26,15
111,15
61,15
57,16
116,16
46,16
103,16
21,16
11,17
12,17
147,17
48,18
47,18
40,18
113,19
134,19
84,19
139,19
141,19
34,20
125,20
285,20
149,20
148,21
91,21
138,21
123,21
156,22
44,23
248,23
145,23
85,24
155,24
110,25
86,25
89,25
164,26
302,26
97,26
292,26
140,26
108,27
182,27
41,27
27,28
77,28
179,29
79,29
51,29
136,29
183,29
198,29
50,29
244,30
172,30
264,30
186,31
62,31
253,31
98,31
31,31
254,31
92,32
142,32
158,33
152,33
33,33
194,34
137,34
306,34
230,34
55,34
82,35
56,35
173,35
231,35
37,35
100,35
45,35
185,36
83,36
49,36
281,36
81,36
32,36
289,36
144,37
104,38
201,38
154,38
290,39
265,39
215,39
59,39
94,39
36,40
295,41
196,41
150,41
208,43
310,44
235,44
109,44
65,44
52,46
132,46
112,47
227,47
216,48
272,48
121,49
224,49
238,49
187,50
277,50
260,50
199,51
228,51
313,52
309,52
184,52
107,53
286,53
273,53
209,54
114,54
66,54
190,55
165,55
297,55
252,56
335,56
96,56
258,56
274,56
181,57
117,57
282,57
118,57
153,57
151,58
223,58
288,58
88,59
240,59
90,59
279,59
70,59
287,59
210,60
305,60
342,62
105,63
177,63
280,63
316,63
133,64
232,64
122,64
298,64
95,65
237,65
120,65
276,65
229,66
159,66
178,66
349,66
74,67
69,67
160,67
146,68
222,68
93,68
60,69
68,69
312,69
218,69
205,69
308,70
363,70
119,70
225,71
131,71
350,71
334,71
102,72
168,72
283,73
80,73
191,73
217,74
75,74
204,74
202,74
130,75
157,75
372,76
162,76
192,76
72,76
301,76
163,77
353,77
243,79
170,79
296,79
233,79
326,80
275,80
291,81
304,81
362,82
167,82
357,82
189,82
343,82
221,83
330,83
319,83
323,83
262,84
180,84
166,84
220,84
354,85
236,85
328,85
333,85
336,86
324,86
241,86
101,87
268,87
366,88
378,88
175,88
321,89
226,89
169,89
370,89
341,89
355,89
269,90
373,90
314,91
124,91
371,92
270,92
106,92
197,92
356,92
359,93
368,93
256,94
206,94
200,94
408,94
311,94
377,95
379,95
351,95
361,95
257,96
263,96
203,96
338,96
327,96
259,97
245,97
128,97
369,98
374,98
250,99
318,99
195,99
303,99
398,99
382,100
239,100
161,100
300,101
404,101
293,101
188,102
214,103
417,103
376,103
176,104
320,104
424,104
337,104
429,104
127,104
294,105
261,105
439,105
284,105
143,106
411,106
171,106
315,106
416,107
436,108
393,108
332,108
251,109
414,109
174,109
392,110
360,110
246,110
364,110
299,111
407,111
126,111
394,111
386,111
435,111
423,112
358,112
129,112
367,113
432,113
340,113
383,114
365,114
431,114
387,114
400,114
418,115
247,115
420,115
325,115
425,116
322,117
422,117
430,117
427,117
413,117
401,117
345,118
471,118
207,118
375,119
399,119
391,119
388,119
193,120
249,120
380,120
434,120
405,120
307,121
438,121
331,121
415,121
397,121
474,122
213,122
242,122
412,123
426,123
410,123
339,123
267,123
442,123
389,123
402,123
409,124
352,124
476,124
447,124
255,124
271,125
433,125
348,125
347,125
449,125
473,125
211,126
445,126
485,126
428,126
460,126
446,127
406,127
419,127
403,127
443,128
385,129
510,129
421,129
499,129
470,129
390,129
458,130
454,130
478,131
462,131
477,131
467,131
459,132
457,132
437,132
329,133
501,133
486,133
463,133
451,134
506,134
464,134
513,134
212,135
472,135
346,135
475,136
455,136
515,136
493,136
508,137
461,137
487,137
278,137
489,137
440,137
453,138
441,138
488,138
509,138
517,138
450,138
500,139
496,139
539,139
507,139
505,140
498,140
468,140
481,140
537,140
525,141
384,141
465,141
524,141
521,141
395,142
497,142
492,142
479,142
448,142
514,142
396,143
504,143
518,143
483,143
317,143
381,143
452,144
511,144
480,144
456,144
542,144
522,145
554,145
531,146
538,146
548,147
536,147
541,147
527,147
530,147
444,147
528,148
561,148
545,148
490,148
469,148
560,149
520,149
529,149
516,149
555,149
484,149
533,150
546,150
512,150
562,151
466,151
344,151
547,151
503,151
559,152
502,152
495,152
544,152
570,153
563,153
576,153
526,153
532,154
540,154
575,154
491,154
543,154
578,154
482,154
573,154
549,155
558,155
553,155
564,155
550,155
582,155
557,156
588,156
590,156
579,156
567,156
534,156
552,157
585,157
568,157
535,157
494,157
566,158
599,158
600,158
551,158
571,158
597,158
556,159
572,159
519,159
577,159
583,159
580,159
523,160
565,160
581,160
598,161
601,161
589,161
593,161
594,162
618,162
587,162
569,162
592,162
596,163
607,163
574,163
610,163
584,163
606,163
608,163
586,164
591,164
603,164
602,164
616,164
613,164
604,164
595,165
612,171
605,171
609,171
647,174
646,174
645,174
622,176
625,176
624,176
623,176
621,176
620,177
619,177
617,177
615,177
614,177
611,177
626,178
636,178
644,178
643,178
642,178
641,178
640,178
639,178
638,178
637,179
635,179
634,179
633,179
632,179
631,179
630,179
629,179
628,179
627,180
