EngWord,NldWord,Group
house,huis,0
church,kerk,0
school,school,0
management,beheer,0
public,openbaar,0
panel,paneel,0
panel,paneel,0
vote,stemmen,0
corps,corps,0
staff,personeel,0
jury,jury,1
top brass,top laag,1
profession,beroep,1
registration,registratie,1
civil service,ambtenarij,1
university,Universiteit,1
government officials,ambtenaren,1
county council,gemeenteraad,1
nursing,verpleging,1
press corps,perskorps,1
ministry,ministerie,2
immigration,immigratie,2
grand jury,hoge jury,2
opposition,oppositie,2
colony,kolonie,2
gown,gewaad,2
leadership,leiderschap,2
executive,leidinggevend,2
administration,administratie,2
membership,lidmaatschap,2
ulema,ulema,3
militia,militie,3
occupational group,beroepsgroep,3
high command,opperste bevel,3
college,middelbare school,3
Rome,Rome,3
Curia,Curie,3
pastorate,pastoraat,3
inspectorate,inspectie,3
electoral college,kiescollege,3
rabbinate,rabbinaat,4
art nouveau,Art Nouveau,4
prelacy,prelaat,4
special jury,speciale jury,4
petit jury,kleine jury,4
Plantation,Plantage,4
historical school,historische school,4
Pentagon,Pentagon,4
secession,afscheiding,4
businessmen,zakenlieden,4
representation,vertegenwoordiging,5
varsity,universiteit,5
medical profession,medisch beroep,5
diaspora,verspreiden,5
economics profession,economie beroep,5
constituency,kiesdistrict,5
proprietary colony,eigen kolonie,5
cardinalate,kardinaal,5
legal profession,juridisch beroep,5
Christendom,christendom,5
hung jury,opgehangen jury,6
bureaucracy,bureaucratie,6
lake poets,meer dichters,6
pointillism,pointillisme,6
Whitehall,Whitehall,6
health profession,gezondheidsberoep,6
clergy,geestelijkheid,6
frontier settlement,grens nederzetting,6
priesthood,priesterschap,6
community of scholars,gemeenschap van geleerden,6
Bush administration,regering-Bush,7
judiciary,rechterlijke macht,7
Ashcan School,Ashcan School,7
diplomatic service,diplomatieke dienst,7
Bush administration,regering-Bush,7
Sacred College,Heilig College,7
Reagan administration,regering-Reagan,7
Clinton administration,regering-Clinton,7
Iraqi National Congress,Iraaks Nationaal Congres,7
deconstructivism,deconstructivisme,7
Carter administration,Carter administratie,8
Supreme Headquarters Allied Powers Europe,Supreme Headquarters Geallieerde Mogendheden Europa,8
