EngWord,NldWord,Group
name day,naamdag,0
field day,velddag,0
field day,velddag,0
school day,schooldag,0
market day,markt dag,0
ides,ides,0
wedding day,trouwdag,0
bank holiday,feestdag,0
holiday,vakantie,0
fast day,vastendag,0
anniversary,jubileum,1
wedding anniversary,trouwdag,1
jubilee,jubileum,1
commencement day,startdag,1
feast day,feestdag,1
quarter day,kwart dag,1
payday,betaaldag,1
Assumption,Aanname,1
Martinmas,Martinus,1
Father's Day,Vaderdag,1
Hogmanay,Hogmanay,2
birthday,verjaardag,2
rag day,voddendag,2
Michaelmas,Michaël,2
Passover,Pascha,2
Purim,Purim,2
V-day,V-dag,2
millennium,millennium,2
Ember Day,Sinteldag,2
May Day,1 mei,2
washday,wasdag,3
Pasch,Pasch,3
Succoth,Sukkoth,3
Tet,Tet,3
Mardi Gras,Mardi Gras,3
speech day,toespraak dag,3
leap day,schrikkeldag,3
Halloween,Halloween,3
Epiphany,Openbaring,3
centennial,honderdjarig,3
major fast day,grote vastendag,4
Lag b'Omer,Lag b'Omer,4
Christmas,Kerstmis,4
Shavous,Shavous,4
Mother's Day,Moederdag,4
Pasch,Pasch,4
Veterans Day,Veteranendag,4
All Saints' Day,Allerheiligen,4
Ramanavami,Ramanavami,4
minor fast day,kleine vastendag,4
polling day,verkiezingsdag,5
Annunciation,Aankondiging,5
Arbor Day,Arbor Day,5
Tishah b'Av,Tishah b'Av,5
Admission Day,Toegangsdag,5
Hanukkah,Chanoeka,5
Candlemas,Lichtmis,5
Saint Joseph,Sint Josef,5
bimillennium,bimillennium,5
legal holiday,wettelijke feestdag,5
movable feast,beweegbaar feest,6
quincentennial,quincentennial,6
All Souls' Day,Allerzielen,6
Lammas,Lammas,6
religious holiday,religieuze vakantie,6
Easter Sunday,Paaszondag,6
saint's day,Heiligendag,6
Twelfth night,Twaalfde nacht,6
sesquicentennial,sesquicentennial,6
quatercentennial,vierhonderdjarig,6
Cinco de Mayo,Cinco de Mayo,7
silver jubilee,zilveren jubileum,7
Boxing Day,Tweede kerstdag,7
Ascension,Hemelvaart,7
Pentecost,Pinksteren,7
Thanksgiving,Dankzegging,7
Septuagesima,Septuagesima,7
Easter,Pasen,7
Circumcision,Besnijdenis,7
diamond jubilee,diamanten jubileum,7
Passion Sunday,Passiezondag,8
red-letter day,rode brieven dag,8
Dormition,Dormition,8
golden wedding anniversary,gouden huwelijksverjaardag,8
Flag Day,Vlaggendag,8
Mesasamkranti,Mesasamkranti,8
Id al-Fitr,Id al-Fitri,8
Valentine Day,Valentijnsdag,8
Midsummer Eve,Midzomeravond,8
Rogation Day,Rogatiedag,8
silver wedding anniversary,zilveren huwelijksverjaardag,9
Columbus Day,Columbus dag,9
diamond wedding anniversary,diamanten huwelijksverjaardag,9
holy day of obligation,heilige dag van verplichting,9
Yom Kippur,Jom Kippoer,9
Fast of Tammuz,Vasten van Tammuz,9
Bonfire Night,Kampvuur nacht,9
Christmas Eve,kerstavond,9
Holy Innocents' Day,Dag van de Onschuldigen,9
Solemnity of Mary,Hoogfeest van Maria,9
bicentennial,tweehonderdste verjaardag,10
Ash Wednesday,As woensdag,10
semicentennial,vijftigjaarlijks,10
Rosh Hodesh,Rosh Hodesh,10
Id al-Adha,Id al-Adha,10
April Fools',April Dwazen,10
Guy Fawkes Day,Guy Fawkes dag,10
Patriot's Day,Dag van de patriot,10
Immaculate Conception,Onbevlekte Ontvangenis,10
Dominion Day,Dag van de heerschappij,10
November 5,5 november,11
High Holy Day,Hoge Heilige Dag,11
Good Friday,Goede Vrijdag,11
half-holiday,halve vakantie,11
Palm Sunday,Palmzondag,11
Jefferson Davis' Birthday,Verjaardag van Jefferson Davis,11
Advent Sunday,Adventszondag,11
Fast of the Firstborn,Vasten van de eerstgeborene,11
Low Sunday,Lage zondag,11
tercentennial,driehonderdste gedenkdag,11
Holy Saturday,heilige zaterdag,12
Fast of Tevet,Vasten van Tevet,12
Midsummer Day,Midzomerdag,12
Christian holy day,christelijke heilige dag,12
Groundhog Day,Groundhog Day,12
Armed Forces Day,Dag van de strijdkrachten,12
Inauguration Day,Inhuldigingsdag,12
New Year's Day,Nieuwjaarsdag,12
Trinity Sunday,Drievuldigheidszondag,12
Rosh Hashanah,Rosj Hasjana,12
Quadragesima,Quadragesima,13
Victoria Day,Victoria Dag,13
St Patrick's Day,St Patrick's Day,13
Presidents' Day,Dag van de president,13
Quinquagesima,Quinquagesima,13
Remembrance Day,Dodenherdenking,13
Memorial Day,herdenkingsdag,13
Citizenship Day,Dag van het burgerschap,13
Commonwealth Day,Gemenebest Dag,13
New Year's Eve,Oudjaarsavond,13
Corpus Christi,Corpus Christi,14
Walpurgis Night,Walpurgisnacht,14
Labor Day,Dag van de Arbeid,14
Saint Agnes's Eve,Sint Agnes's Eve,14
Transfiguration,Transfiguratie,14
Shimchath Torah,Shimchath Tora,14
Fast of Esther,Vasten van Esther,14
Saints Peter and Paul,Heiligen Peter en Paul,14
Lincoln's Birthday,Lincoln's verjaardag,14
Martin Luther King Jr's Birthday,Martin Luther King Jr's verjaardag,14
Maundy Thursday,Witte Donderdag,15
Washington's Birthday,Washington's verjaardag,15
Bastille Day,Dag van de Bastille,15
Jewish holy day,Joodse heilige dag,15
Texas Independence Day,Texas Onafhankelijkheidsdag,15
Robert E Lee's Birthday,De verjaardag van Robert E Lee,15
Independence Day,Onafhankelijkheidsdag,15
Fast of Gedaliah,Vasten van Gedalia,15
Pan American Day,Pan-Amerikaanse dag,15
American Indian Day,Amerikaanse Indianendag,15
United Nations Day,Dag van de Verenigde Naties,16
