EngWord,NldWord,Group
till,tot,0
sand,zand,0
adobe,adobe,0
clay,klei,0
soil,bodem,0
silt,slib,0
loam,leem,0
mud,modder,0
red clay,rode klei,0
mold,gietvorm,0
gumbo,gumbo,1
loess,löss,1
bole,stam,1
moraine,morene,1
china clay,China klei,1
humus,humus,1
marl,mergel,1
slip,uitglijden,1
residual soil,restaarde,1
argil,klei,1
slop,slordig,2
desert soil,woestijngrond,2
bleaching clay,bleekklei,2
prairie soil,prairie bodem,2
bog soil,moerasgrond,2
mud pie,modder taart,2
leaf mold,blad schimmel,2
podzol,podzol,2
bentonite,bentoniet,2
topsoil,bovengrond,2
laterite,lateriet,3
caliche,caliche,3
daub,bekladden,3
tundra soil,toendra bodem,3
regur,regur,3
subsoil,ondergrond,3
clunch,klonter,3
regosol,regosol,3
pipeclay,pijpaarde,3
alluvial soil,alluviale bodem,3
sedimentary clay,sedimentaire klei,4
indurated clay,verharde klei,4
saprolite,saproliet,4
Indian red,Indiaas rood,4
diatomaceous earth,Diatomeeënaarde,4
wiesenboden,wiesenboden,4
fireclay,vuurvaste steen,4
Kitty Litter,Kattenbakvulling,4
gilgai soil,Gilgai bodem,4
fuller's earth,voller's aarde,4
potter's clay,pottenbakkersklei,5
chernozemic soil,chernozemische bodem,5
