EngWord,NldWord,Group
fit,fit,0
state,staat,0
concern,zorg,0
bang,knal,0
fear,angst,0
fear,angst,0
alarm,alarm,0
love,Liefde,0
anger,woede,0
fury,woede,0
comfort,comfort,1
happiness,geluk,1
wrath,Toorn,1
joy,vreugde,1
panic,paniek,1
triumph,triomf,1
shadow,schaduw,1
angst,angst,1
ecstasy,extase,1
nirvana,nirvana,1
grudge,wrok,2
mourning,rouwen,2
chill,chillen,2
sinking,zinkend,2
worship,aanbidden,2
pique,piqué,2
agape,agape,2
suspense,spanning,2
aggression,agressie,2
resentment,rancune,2
agape,agape,3
envy,jaloezie,3
radiance,straling,3
euphoria,euforie,3
creeps,kruipt,3
loyalty,loyaliteit,3
jealousy,jaloezie,3
annoyance,ergernis,3
unhappiness,ongeluk,3
penis envy,penisnijd,3
frustration,frustratie,4
sadness,droefheid,4
cold feet,koude voeten,4
hysteria,hysterie,4
harassment,Intimidatie,4
devotion,toewijding,4
anxiety,ongerustheid,4
class feeling,klasse gevoel,4
puppy love,kalverliefde,4
horror,verschrikking,4
gloom,somberheid,5
willies,willies,5
abhorrence,afschuw,5
heartstrings,hartzeer,5
diffidence,schroom,5
frisson,frisson,5
quality of life,kwaliteit van het leven,5
foreboding,voorteken,5
exhilaration,opwinding,5
dudgeon,dudgeon,5
trepidation,opwinding,6
intimidation,intimidatie,6
insecurity,onzekerheid,6
presage,voorteken,6
covetousness,hebzucht,6
infuriation,woede,6
hostility,vijandigheid,6
hate,een hekel hebben aan,6
emotional state,emotionele staat,6
worry,zich zorgen maken,6
bad temper,slecht humeur,7
embarrassment,verlegenheid,7
umbrage,aanstoot,7
swivet,swivet,7
displeasure,ongenoegen,7
gratification,bevrediging,7
ardor,hartstocht,7
apprehension,gevangenname,7
scare,laten schrikken,7
antagonism,antagonisme,7
scruple,scrupules,8
aggravation,verergering,8
heartburning,ergernis,8
hesitance,aarzeling,8
warpath,oorlogspad,8
stage fright,plankenkoorts,8
intoxication,dronkenschap,8
conditioned emotional response,geconditioneerde emotionele reactie,8
lividity,bleekheid,8
misogyny,vrouwenhaat,8
misopedia,misopedia,9
shyness,verlegenheid,9
animosity,vijandigheid,9
belligerence,strijdlust,9
timidity,verlegenheid,9
malice,kwaadaardigheid,9
vindictiveness,wraakzucht,9
beneficence,weldadigheid,9
discomfiture,ongenoegen,9
misanthropy,misantropie,9
titillation,prikkeling,10
benevolence,welwillendheid,10
misology,misologie,10
exuberance,uitbundigheid,10
indignation,verontwaardiging,10
elation,opgetogenheid,10
misocainea,misocainea,10
despisal,verachting,10
sulkiness,chagrijnig,10
dander,huidschilfers,10
poignance,ontroering,11
misoneism,misoneïsme,11
murderousness,moordzucht,11
blessedness,gelukzaligheid,11
embitterment,verbittering,11
exultation,opgetogenheid,11
filial love,kinderlijke liefde,11
malevolence,kwaadaardigheid,11
anxiousness,angstgevoelens,11
lovingness,liefdevolheid,11
amorousness,verliefdheid,12
jitteriness,zenuwachtigheid,12
warmheartedness,hartelijkheid,12
edginess,scherpzinnigheid,12
irascibility,opvliegendheid,12
huffiness,luchthartigheid,12
maleficence,kwaadaardigheid,12
misogamy,afschuw van huwelijk,12
unassertiveness,assertiviteit,12
