EngWord,NldWord,Group
fit,fit,0
thing,ding,0
sex,seks,0
hope,hoop,0
wish,wens,0
hope,hoop,0
pain,pijn,0
soul,ziel,0
state,staat,0
concern,zorg,0
concern,zorg,1
bang,knal,1
love,Liefde,1
peace,vrede,1
fear,angst,1
fear,angst,1
regard,groet,1
favor,gunst,1
alarm,alarm,1
love,Liefde,1
pride,trots,2
stomach,maag,2
wound,wond,2
stomach,maag,2
pride,trots,2
anger,woede,2
grief,rouw,2
happiness,geluk,2
happiness,geluk,2
ego,ego,2
comfort,comfort,3
urge,drang,3
glow,gloed,3
fetish,fetisj,3
complex,complex,3
appetite,trek,3
comfort,comfort,3
distance,afstand,3
sorrow,leed,3
weight,gewicht,3
sorrow,leed,4
misery,mis,4
enjoyment,genot,4
passion,passie,4
panic,paniek,4
withdrawal,opname,4
passion,passie,4
suffering,lijden,4
fever,koorts,4
triumph,triomf,4
distress,angst,5
pet,huisdier,5
stir,roeren,5
pleasure,plezier,5
fury,woede,5
attachment,bijlage,5
emotion,emotie,5
joy,vreugde,5
wrath,Toorn,5
shadow,schaduw,5
agony,nood,6
conflict,conflict,6
guilt,schuld,6
insight,in zicht,6
woe,wee,6
sensation,gevoel,6
good will,goede wil,6
leaning,leunen,6
preference,voorkeur,6
nirvana,nirvana,6
delight,vreugde,7
conscience,geweten,7
angst,angst,7
caprice,gril,7
desire,verlangen,7
chill,chillen,7
zeal,ijver,7
awe,ontzag,7
depression,depressie,7
grudge,wrok,7
ambition,ambitie,8
resignation,ontslag,8
ecstasy,extase,8
dislike,afkeer,8
isolation,isolatie,8
pang,pang,8
shame,schaamte,8
mourning,rouwen,8
despair,wanhoop,8
feelings,gevoelens,8
weakness,zwakheid,9
suspense,spanning,9
suspense,spanning,9
sinking,zinkend,9
dolor,dolor,9
discomfort,ongemak,9
worship,aanbidden,9
libido,libido,9
security,beveiliging,9
unrest,onrust,9
pique,piqué,10
repentance,berouw,10
inclination,neiging,10
surprise,verrassing,10
agape,agape,10
sympathy,sympathie,10
agape,agape,10
gold fever,goudkoorts,10
buck fever,bokkoorts,10
consolation,troost,10
calmness,rust,11
confidence,vertrouwen,11
emulation,emulatie,11
addiction,verslaving,11
affection,affectie,11
sweet tooth,zoetekauw,11
amusement,amusement,11
gusto,zin in,11
coolness,koelte,11
tranquillity,kalmte,11
creeps,kruipt,12
aggression,agressie,12
compassion,medeleven,12
soft spot,zachte plek,12
envy,jaloezie,12
resentment,rancune,12
affect,beïnvloeden,12
daze,versuft,12
approval,goedkeuring,12
radiance,straling,12
easiness,gemak,13
disgust,walging,13
sadism,sadisme,13
euphoria,euforie,13
relief,Verlichting,13
apathy,apathie,13
cold feet,koude voeten,13
good humor,goede humor,13
earnestness,ernst,13
growing pains,groeipijn,13
empathy,empathie,14
tumult,tumult,14
jealousy,jaloezie,14
penis envy,penisnijd,14
nostalgia,nostalgie,14
loyalty,loyaliteit,14
annoyance,ergernis,14
agitation,agitatie,14
cold comfort,koude troost,14
sentiment,sentiment,14
civic pride,burgertrots,15
sadness,droefheid,15
cynicism,cynisme,15
