EngWord,NldWord,Group
musical,muzikaal,0
home movie,thuis-film,0
cartoon,tekenfilm,0
silent movie,stomme film,0
slow motion,slow motion,0
newsreel,journaal,0
short subject,kort onderwerp,0
final cut,laatste snede,0
rough cut,ruwe versie,0
three-D,drie-D,0
peepshow,Peep Show,1
talking picture,pratende foto,1
skin flick,skin flick,1
film noir,zwarte film,1
Western,Westers,1
feature,voorzien zijn van,1
collage film,collage film,1
documentary,documentaire,1
coming attraction,komende attractie,1
shoot-'em-up,schiet ze op,1
telefilm,televisiefilm,2
cinema verite,bioscoop verite,2
spaghetti Western,spaghetti western,2
