EngWord,NldWord,Group
bass,bas,0
jack,jack,0
cisco,cisco,0
salmon,Zalm,0
sole,zool,0
char,char,0
shark,haai,0
pike,snoek,0
trout,forel,0
northern pike,Snoek,0
ray,straal,1
ling,leng,1
skate,vleet,1
sierra,sierra,1
gar,gar,1
eel,aal,1
drum,trommel,1
liza,liza,1
sleeper,slaper,1
flounder,bot,1
sucker,sukkel,2
perch,baars,2
rudd,Rudd,2
parr,parr,2
sweeper,veger,2
herring,haring,2
shad,elft,2
grunt,grom,2
tuna,tonijn,2
hind,hindi,2
yellow bass,gele bas,3
brit,britse,3
sturgeon,steur,3
carp,karper,3
tetra,tetra,3
brill,griet,3
game fish,wild vis,3
coho,coho,3
rock bass,rock bas,3
sea bass,zeebaars,3
moray,murene,4
mako,mako,4
manta,manta,4
mullet,matje,4
cow shark,koe haai,4
coney,coney,4
minnow,voorn,4
dory,dory,4
yellow jack,gele jack,4
cat shark,kat haai,4
sand sole,zandzool,5
rough fish,ruwe vis,5
wahoo,wahoo,5
marlin,marlijn,5
whitefish,witvis,5
snapper,snapper,5
sand lance,zandlans,5
piranha,piranha,5
worm fish,worm vis,5
pompano,pompano,5
catfish,meerval,6
pollack,koolvis,6
flame fish,vlam vis,6
young fish,jonge vis,6
chinook,chinook,6
hake,heek,6
halibut,heilbot,6
goldfish,goudvis,6
tarpon,tarpon,6
cod,kabeljauw,6
mollie,mollie,7
lemon sole,tongschar,7
whiting,wijting,7
sea raven,zee raaf,7
sea trout,zeeforel,7
runner,hardloper,7
margate,margate,7
guppy,guppy,7
bony fish,beenvis,7
mackerel,makreel,7
goby,goby,8
scad,scad,8
bonito,bonito,8
windowpane,ruit,8
black bass,zwarte bas,8
brook trout,beekforel,8
scup,scup,8
sockeye,sok oog,8
permit,vergunning,8
porgy,porgy,8
cero,cero,9
buffalo fish,buffel vis,9
stone bass,stenen bas,9
puffer,puffer,9
conger,conger,9
roach,kakkerlak,9
fish doctor,vis dokter,9
tench,zeelt,9
angel shark,engel haai,9
haddock,schelvis,9
eagle ray,adelaarsrog,10
food fish,voedsel vis,10
plaice,schol,10
beluga,beloega,10
sunfish,maanvis,10
summer flounder,zomerbot,10
sand tiger,zand tijger,10
wrasse,lipvis,10
tiger shark,tijgerhaai,10
hammerhead,hamerkop,10
whiff,vleugje,11
cobia,cobia,11
climbing perch,klimbaars,11
argentine,Argentijns,11
sand dab,zand schar,11
lake trout,meer forel,11
sardine,sardine,11
pogge,pogge,11
barracuda,barracuda,11
turbot,tarbot,11
slippery dick,gladde lul,12
smelt,spiering,12
sawfish,zaagvis,12
gurnard,poon,12
groundfish,bodemvis,12
blue shark,blauwe haai,12
capelin,lodde,12
platy,platy,12
sea chub,zeevoorn,12
chub,kopvoorn,12
poacher,stroper,13
sailfish,zeilvis,13
flatfish,platvis,13
pomfret,pomfret,13
remora,remora,13
blenny,blenny,13
lemon shark,citroenhaai,13
winter flounder,winterbot,13
redfish,rode vis,13
escolar,escolar,13
anchovy,ansjovis,14
yellow perch,gele baars,14
barbu,barbu,14
white mullet,witte mul,14
rock hind,rock hinde,14
bull shark,stierenhaai,14
whale shark,walvis haai,14
carpet shark,tapijt haai,14
grouper,tandbaars,14
spearfish,speervis,14
swordfish,zwaardvis,15
croaker,croaker,15
red drum,rode trommel,15
damselfish,juffer,15
gunnel,gunnel,15
whitebait,witvis,15
bonefish,bonefish,15
brown trout,bruine forel,15
rock sea bass,rock zeebaars,15
bluegill,bluegill,15
scrod,scrod,16
sculpin,sculpin,16
pompon,pompon,16
blue pike,blauwe snoek,16
flashlight fish,zaklamp vis,16
butterfly ray,vlinderstraal,16
shanny,shanny,16
devil ray,duivel straal,16
butterfly fish,Koraalvlinder,16
flying fish,vliegende vis,16
gudgeon,grondel,17
bullhead,donderpad,17
black buffalo,zwarte buffel,17
oyster fish,oestervissen,17
codling,codling,17
grey flounder,grijze bot,17
sea catfish,zee meerval,17
spawner,spawner,17
lingcod,lingcod,17
tautog,tautog,17
burbot,kwabaal,18
lungfish,longvis,18
rockfish,roodbaars,18
silver perch,zilverbaars,18
grubby,groezelig,18
clinid,clinid,18
white perch,witte baars,18
bowfin,boogvin,18
sild,sild,18
dogfish,doornhaai,18
sea bream,zeebrasem,19
cichlid,cichliden,19
hogfish,hogfish,19
grenadier,grenadier,19
whale sucker,walviszuiger,19
snook,snookeren,19
flathead,platte kop,19
sparling,sparling,19
chimaera,chimaera,19
pilchard,sardine,19
basking shark,reuzenhaai,20
billfish,billfish,20
alewife,alevrouw,20
dace,serpeling,20
seahorse,zeepaardje,20
skipjack,skipjack,20
bluefish,blauwe vis,20
requiem shark,requiem haai,20
menhaden,menhaden,20
mackerel shark,makreelhaai,20
rock beauty,rots schoonheid,21
fingerling,vingeren,21
timucu,timucu,21
silver jenny,zilveren jenny,21
chum salmon,vriend zalm,21
shiner,uitblinker,21
red snapper,rode snapper,21
jawfish,kaakvis,21
walleye,snoekbaarzen,21
horse mackerel,horsmakreel,21
white marlin,witte marlijn,22
razor fish,scheermes vis,22
black sea bass,zwarte zeebaars,22
hog sucker,varkenszuiger,22
saury,makkie,22
lake whitefish,meer witvis,22
butterfish,botervis,22
shovelhead,schopkop,22
crappie,waardeloos,22
skillet fish,koekenpan vis,22
sea robin,zee roodborstje,23
rainbow runner,regenboog loper,23
jewfish,jodenvis,23
threadfin,draadvin,23
bigeye,groot oog,23
killifish,killifish,23
round whitefish,ronde witvis,23
tonguefish,tongvis,23
grey skate,grijze schaats,23
tilefish,tegelvis,23
leather carp,lederen karper,24
pipefish,zeenaald,24
largemouth,grote mond,24
amberjack,amberjack,24
louvar,louvar,24
cowfish,koevis,24
little skate,kleine schaats,24
cusk,slagtand,24
freshwater bass,zoetwaterbaars,24
common eel,gewone paling,24
electric ray,elektrische straal,25
anemone fish,anemonen vis,25
bolti,bolti,25
rainbow trout,Regenboog forel,25
striped bass,gestreepte bas,25
maigre,magere,25
great white shark,grote witte haai,25
black marlin,zwarte marlijn,25
mirror carp,spiegel karper,25
blue marlin,blauwe marlijn,25
paddlefish,peddelvis,26
kingfish,koningsvis,26
cutlassfish,zeekat,26
pinfish,pinfish,26
sergeant major,Sergeant majoor,26
bonito shark,bonito haai,26
sheepshead,schapenkop,26
yellowtail,geelstaart,26
elver,elver,26
sheepshead porgy,schaapskop,26
blackfish,zwarte vis,27
channel catfish,kanaal meerval,27
corbina,corbina,27
red porgy,rode porgy,27
blue catfish,blauwe meerval,27
round scad,ronde scad,27
tub gurnard,kuip poon,27
river shad,rivierschaduw,27
nurse shark,verpleegster haai,27
robalo,Robalo,27
leatherjacket,leren jas,28
frogfish,zeeduivel,28
chaetodon,chaetodon,28
snailfish,slakvis,28
sandfish,zandvis,28
opah,opa,28
wolffish,zeewolf,28
flagfish,vlagvis,28
snake mackerel,slang makreel,28
stingray,pijlstaartrog,28
salmonid,zalmachtige,29
angelfish,maanvissen,29
golden shiner,gouden glans,29
smallmouth,kleine mond,29
harvestfish,oogstvis,29
king whiting,koning wijting,29
