EngWord,NldWord,Group
ice,ijs,0
feed,voer,0
menu,menu,0
board,bord,0
wine,wijn,0
salt,zout,0
pop,knal,0
sweet,zoet,0
stick,stok,0
milk,melk,0
cream,Room,1
milk,melk,1
plate,bord,1
tea,thee,1
tea,thee,1
kiss,kus,1
tea,thee,1
milk,melk,1
beer,bier,1
chip,chip,1
cheese,kaas,2
egg,ei,2
marc,marc,2
jam,jam,2
water,water,2
juice,SAP,2
port,haven,2
sauce,saus,2
mint,munt,2
mint,munt,2
cup,beker,3
wrap,wrap,3
corn,maïs,3
dinner,diner,3
soup,soep,3
rice,rijst,3
lunch,lunch,3
egg white,eiwit,3
pizza,pizza,3
mate,maat,3
mix,mengen,4
perry,perry,4
must,moeten,4
course,Cursus,4
bread,brood,4
cottage cheese,kwark,4
coffee,koffie,4
candy,snoep,4
butter,boter,4
dip,duik,4
danish,Deens,5
pepper,peper,5
beverage,drank,5
wheat,tarwe,5
bite,beet,5
sugar,suiker,5
hash,hasj,5
dietary,dieet,5
flour,meel,5
mess,troep,5
mess,troep,6
plain flour,meel,6
rue,rue,6
duff,stom,6
spice,kruid,6
cola,cola,6
herb,kruid,6
mixer,mixer,6
hay,hooi-,6
pasta,pasta,6
ale,ale,7
center,centrum,7
nan,nan,7
grain,korrel,7
sour,zuur,7
punch,ponsen,7
cooler,koeler,7
western,westers,7
breakfast,ontbijt,7
sack,zak,7
vintage,vintage,8
fare,tarief,8
honey,honing,8
rum,rum,8
alcohol,alcohol,8
ice cream,Softijs,8
ice tea,ijsthee,8
mast,mast,8
turnover,afzet,8
mole,wrat,8
salsa,salsa,9
olive,olijf-,9
formula,formule,9
dough,deeg,9
dish,gerecht,9
chili,Chili,9
marrow,merg,9
geneva,Genève,9
bitter,bitter,9
salad,salade,9
draft beer,tapbier,10
gin,gin,10
jelly,gelei,10
cocoa,cacao,10
cocoa,cacao,10
ginger,gember,10
buffet,buffet,10
mead,mede,10
ginger,gember,10
liquor,likeur,10
liquor,likeur,11
chow,chow,11
banquet,banket,11
taco,taco,11
split,splitsen,11
zombie,zombie,11
whip,zweep,11
collins,collins,11
sushi,sushi,11
dessert,toetje,11
cake mix,cake mix,12
ice water,ijswater,12
white bread,witbrood,12
curry,kerrie,12
egg roll,loempia,12
cream cheese,roomkaas,12
whey,wei,12
snack food,snacks,12
high tea,high tea,12
special,speciaal,12
fast food,Fast food,13
vinegar,azijn,13
cinnamon,kaneel,13
syrup,siroop,13
stout,stout,13
macon,macon,13
barley,gerst,13
quark cheese,kwark,13
spring water,bronwater,13
vodka,wodka,13
generic,algemeen,14
blanc,blanco,14
water ice,water ijs,14
red wine,rode wijn,14
table wine,tafelwijn,14
malt,mout,14
vitamin,vitamine,14
cream sauce,roomsaus,14
malt,mout,14
ice milk,ijs melk,14
oil meal,oliemeel,15
porter,portier,15
filling,vulling,15
meal,maaltijd,15
meal,maaltijd,15
hot pot,hete pot,15
bishop,bisschop,15
poi,poi,15
fish stick,visstick,15
apple juice,appelsap,15
egg cream,eierroom,16
gravy,saus,16
candy egg,snoep ei,16
cider,cider,16
gravy,saus,16
rye,Rogge,16
corn cake,maïscake,16
paddy,padie,16
sherry,sherry,16
loaf of bread,brood,16
fruit juice,fruitsap,17
hard roll,harde rol,17
onion salt,ui zout,17
brunch,brunch,17
onion roll,uienrol,17
sweet roll,zoete rol,17
sandwich,broodje,17
bird feed,vogelvoer,17
pink lady,roze dame,17
branch water,tak water,17
soft drink,frisdrank,18
mash,puree,18
broad bean,tuinboon,18
sun tea,zonnethee,18
whiskey,whisky,18
tea bag,theezakje,18
pate,paté,18
custard,vla,18
brittle,bros,18
dressing,dressing,18
lager,pils,19
mold,gietvorm,19
wort,wort,19
bleu,blauw,19
fodder,voer,19
tonic,tonic,19
thyme,tijm,19
agar,agar,19
vanilla,vanille,19
charlotte,Charlotte,19
fish cake,vis taart,20
oil cake,olie cake,20
hand cheese,hand kaas,20
process cheese,smeltkaas,20
cheese spread,smeerkaas,20
cheese dip,kaas dip,20
picnic,picknick,20
garlic,knoflook,20
bap,bap,20
popcorn,popcorn,20
manhattan,Manhattan,21
bock,bock,21
bubble gum,kauwgom,21
hot sauce,hete saus,21
cheese sauce,kaas saus,21
kosher,koosjer,21
licorice,drop,21
martini,martini,21
kava,kava,21
pastry,gebakje,21
wine sauce,wijn saus,22
mint sauce,munt saus,22
corn chip,maïs chip,22
pickle,augurk,22
dog food,hondenvoer,22
cat food,kattenvoer,22
candy bar,snoepreep,22
white wine,witte wijn,22
mocha,mokka,22
tea bread,theebrood,22
phosphate,fosfaat,23
double cream,dubbelroom,23
mocha,mokka,23
diet,eetpatroon,23
batter,beslag,23
dill,dille,23
brew,brouwen,23
pepper sauce,pepersaus,23
diet,eetpatroon,23
mace,foelie,23
roux,roux,24
mixed drink,mixdrankje,24
side dish,bijgerecht,24
porridge,pap,24
whole milk,volle melk,24
business lunch,zakenlunch,24
bagel,bagel,24
coloring,kleuren,24
raw milk,rauwe melk,24
chicken feed,kippenvoer,24
oat,haver,25
jello,jello,25
soft roll,zachte rol,25
comfort food,troosteten,25
miso,miso,25
pepper pot,peper pot,25
cracker,cracker,25
pudding,pudding,25
cocktail,cocktail,25
root beer,wortelbier,25
cocktail,cocktail,26
biscuit,biscuit,26
pudding,pudding,26
fudge,toffees,26
pudding,pudding,26
sling,slinger,26
stuffing,vulling,26
nectar,nectar,26
muffin,muffin,26
flip,omdraaien,26
soy sauce,sojasaus,27
espresso,espresso,27
cream soda,roomsoda,27
sake,rijstwijn,27
nut bar,notenreep,27
old fashioned,oubollig,27
yogurt,yoghurt,27
elixir,elixer,27
cud,kudt,27
timothy,timotheüs,27
duck sauce,eend saus,28
potato,aardappel,28
scrambled eggs,roerei,28
gyro,gyros,28
chewing gum,kauwgom,28
mousse,mousse,28
mousse,mousse,28
bourbon,bourbon,28
relish,Relish,28
savory,hartig,28
onion bread,uienbrood,29
bun,broodje,29
savory,hartig,29
cattle cake,vee taart,29
champagne,Champagne,29
bean dip,bonen dip,29
pesto,pesto,29
quick bread,snel brood,29
lollipop,lolly,29
nacho,nacho,29
barbecue,barbecue,30
barbecue,barbecue,30
lime juice,limoensap,30
light beer,licht bier,30
caramel,karamel,30
puree,puree,30
candy cane,zuurstok,30
caramel,karamel,30
fondue,fondue,30
drinking water,drinkwater,30
colostrum,biest,31
gumbo,gumbo,31
poppy seed,maanzaad,31
grog,grog,31
date bread,dadelbrood,31
fondue,fondue,31
casserole,braadpan,31
cheddar,Cheddar,31
mustard,mosterd-,31
fruit drink,fruit drank,31
hard candy,hard snoep,32
clary sage,salie,32
coffee break,koffiepauze,32
tequila,tequila,32
cheese pizza,kaas pizza,32
chili sauce,chilisaus,32
alfalfa,luzerne,32
ghee,ghee,32
anise,anijs,32
finger food,fingerfood,32
cotton candy,suikerspin,33
soft diet,zacht dieet,33
liqueur,likeur,33
light diet,licht dieet,33
rock candy,Rock snoep,33
rock candy,Rock snoep,33
lozenge,ruit,33
stew,stoofpot,33
culture medium,kweekmedium,33
fish loaf,visbrood,33
fennel,venkel,34
cayenne,cayenne,34
bean curd,tahoe,34
candy corn,Snoep mais,34
chicken soup,kippensoep,34
hard sauce,harde saus,34
white sauce,witte saus,34
molasses,stroop,34
bread sauce,brood saus,34
rat cheese,rattenkaas,34
sweet corn,Zoete maïs,35
instant coffee,oploskoffie,35
fennel,venkel,35
curacao,Curacao,35
bran,zemelen,35
straw wine,stro wijn,35
wafer,wafeltje,35
heavy cream,Heavy Cream,35
black tea,zwarte thee,35
white rice,witte rijst,35
haggis,haggis,36
nosh,nosh,36
whipping cream,slagroom,36
sage,verstandig,36
wild rice,wilde rijst,36
apple turnover,appelflap,36
gruel,pap,36
coconut milk,kokosmelk,36
sorghum,sorghum,36
