Group,Level
4,4
0,4
7,6
2,7
12,7
22,13
14,13
1,14
51,15
17,17
3,17
33,17
13,17
8,21
23,21
24,21
35,24
15,25
18,26
83,26
20,26
25,26
32,28
5,28
9,29
42,29
46,30
49,31
36,32
34,32
11,34
30,35
6,35
38,35
10,35
45,37
87,37
77,38
16,38
37,38
21,39
31,39
66,39
53,40
29,40
44,40
55,41
27,42
43,42
62,43
54,43
19,43
61,44
40,44
60,44
84,44
52,45
48,46
97,47
79,47
41,48
63,48
26,49
47,50
50,51
65,51
28,51
89,52
70,52
64,52
57,52
74,53
39,53
96,54
78,55
73,55
85,56
75,57
72,57
94,58
76,58
98,58
69,58
100,59
56,59
81,61
71,61
58,62
92,62
110,62
106,63
95,63
99,63
103,64
105,64
68,64
80,66
102,66
109,66
104,67
67,68
101,68
114,68
90,69
59,69
86,69
88,69
111,70
108,70
107,71
124,72
112,72
117,73
123,73
122,73
113,74
118,74
116,74
120,75
115,75
93,76
82,76
119,77
126,77
121,78
127,79
135,79
128,79
130,80
125,81
134,82
133,82
138,83
129,84
132,86
91,87
139,88
136,88
141,88
131,88
137,88
140,89
143,91
142,92
144,92
147,94
149,98
151,98
150,99
152,99
148,100
145,101
146,101
