EngWord,NldWord,Group
ear,oor,0
kernel,kern,0
hip,heup,0
seed,zaad,0
date,datum,0
corn,maïs,0
apple,appel,0
fig,vijg,0
berry,BES,0
bean,Boon,0
nut,noot,1
cherry,kers-,1
pear,Peer,1
soy,soja,1
pod,peul,1
mast,mast,1
orange,oranje,1
grape,druif,1
pip,Pip,1
kiwi,kiwi,1
pea,erwt,2
peanut,pinda,2
grain,korrel,2
plum,pruim,2
olive,olijf-,2
rye,rogge,2
acorn,eikel,2
emperor,keizer,2
lemon,citroen,2
banana,banaan,2
lime,limoen,3
currant,bes,3
peach,perzik,3
blueberry,bosbes,3
melon,meloen,3
citrus,citrus-,3
strawberry,aardbei,3
pineapple,ananas,3
mango,mango-,3
okra,okra,3
raisin,rozijn,4
bell apple,bel appel,4
lentil,linze,4
papaya,papaja,4
palm nut,palmnoot,4
blackberry,braambes,4
broad bean,tuinboon,4
persimmon,kaki,4
cumin,komijn,4
huckleberry,bosbes,4
brazil nut,paranoot,5
cranberry,veenbes,5
guava,guave,5
samara,samara,5
heart cherry,hart kers,5
cashew,cachou,5
almond,amandel,5
anjou,anjou,5
wheat berry,tarwe bes,5
morello,meer,5
garden pea,doperwt,6
pyrene,pyreen,6
bosc,bosc,6
pome,pit,6
buckeye,buckeye,6
avocado,avocado,6
kai apple,kai appel,6
wild cherry,wilde kers,6
mulberry,moerbei,6
field pea,velderwt,6
chestnut,kastanje,7
gourd,kalebas,7
sweet cherry,zoete kers,7
bartlett,bartlett,7
eating apple,appel eten,7
rose apple,rozenappel,7
walnut,okkernoot,7
raspberry,framboos,7
coffee bean,koffieboon,7
bilberry,bosbes,7
coconut,kokosnoot,8
cooking apple,appel koken,8
citron,citroen,8
apricot,abrikoos,8
buffalo nut,buffelnoot,8
fox grape,vos druif,8
sour cherry,zure kers,8
canistel,busje,8
jumping bean,springboon,8
kola nut,kolanoot,8
amaranth,amarant,9
red currant,rode bes,9
Empire,rijk,9
durian,durian,9
cowpea,cowpea,9
pistachio,pistache,9
litchi,lychee,9
crab apple,krab appel,9
ilama,ilama,9
oilseed,oliezaad,9
jujube,jujube,10
quince,kweepeer,10
loquat,loquat,10
calabash,kalebas,10
passion fruit,passievrucht,10
mamey,mamey,10
saskatoon,saskatoon,10
screw bean,schroefboon,10
bing cherry,bing kers,10
satsuma,satsuma,10
muskmelon,meloen,11
elderberry,vlierbes,11
seckel,seckel,11
papaw,papaja,11
medlar,mispel,11
mandarin,mandarijn-,11
kumquat,kumquat,11
gooseberry,kruisbes,11
ivory nut,ivoren noot,11
pecan,pecannoot,11
tangerine,mandarijn,12
green olive,groene olijf,12
lanseh,lanseh,12
sapote,sapote,12
pond apple,vijver appel,12
black olive,zwarte olijf,12
linseed,lijnzaad,12
temple orange,tempel oranje,12
cocoa plum,cacao pruim,12
acerola,acerola,12
ackee,ackee,13
rapeseed,koolzaad,13
hazelnut,hazelnoot,13
genip,genipt,13
tangelo,tangelo,13
pumpkin seed,pompoenzaad,13
windfall,meevaller,13
acinus,acinus,13
ribier,ribier,13
simple fruit,eenvoudig fruit,13
melon ball,meloen bal,14
juniper berry,jeneverbes,14
neem seed,neem zaad,14
Prima,Prima,14
sweet orange,zoete sinaasappel,14
grapefruit,pompelmoes,14
beach plum,strand pruim,14
accessory fruit,accessoire fruit,14
Macoun,Macoun,14
mealie,melie,14
Tokay,Tokio,15
capulin,capuline,15
tamarind,tamarinde,15
cubeb,cubeb,15
Pippin,Pepijn,15
prickly pear,cactusvijg,15
marasca,marasca,15
pine nut,pijnboompitten,15
butternut,butternut,15
black currant,zwarte bes,15
hog plum,varkenspruim,16
tonka bean,Tonka Boon,16
betel nut,betelnoot,16
clementine,clementine,16
dried fruit,gedroogd fruit,16
freestone,hardsteen,16
legume,peulvrucht,16
pulasan,pulsan,16
hickory nut,hickory noot,16
loganberry,loganbes,16
Catawba,Catawba,17
navel orange,navel oranje,17
