EngWord,NldWord,Group
blue,blauw,0
bee,bij,0
fly,vlieg,0
copper,koper,0
cricket,krekel,0
bug,beestje,0
ant,mier,0
soldier,soldaat,0
queen,koningin,0
yellow jacket,gele jas,0
butterfly,vlinder,1
flea,vlo,1
emperor,keizer,1
wheel bug,wiel bug,1
beetle,kever,1
mosquito,mug,1
worker bee,werkbij,1
worker,arbeider,1
comma,komma,1
leaf bug,bladluis,1
dragonfly,libel,2
peacock,Pauw,2
sawyer,zager,2
moth,mot,2
lace bug,kant bug,2
ant cow,bladluis,2
small white,klein wit,2
monarch,monarch,2
wasp,wesp,2
true bug,echte bug,2
admiral,admiraal,3
sand fly,zandvlieg,3
gnat,mug,3
io moth,io mot,3
gnat,mug,3
firefly,glimworm,3
drone,drone,3
mason bee,metselbij,3
chrysalis,pop,3
dobson,dobson,3
firefly,glimworm,4
wood ant,hout mier,4
luna moth,luna mot,4
tree cricket,boomkrekel,4
fire ant,vuur mier,4
hornet,horzel,4
atlas moth,atlasmot,4
bee fly,bijenvlieg,4
midge,mug,4
bee moth,bijenmot,4
grain moth,graanmot,5
searcher,zoeker,5
walking stick,wandelstok,5
imago,imago,5
flesh fly,vleesvlieg,5
black bee,zwarte bij,5
bee beetle,bij kever,5
leaf beetle,bladkever,5
pupa,pop,5
seed beetle,zaadkever,5
oil beetle,oliekever,6
ground beetle,loopkever,6
slave ant,slaaf mier,6
termite,termiet,6
click beetle,klik kever,6
gall midge,galmug,6
flour beetle,meelkever,6
scarab,scarabee,6
dog flea,hondenvlo,6
cat flea,kattenvlo,6
gall wasp,gal wesp,7
leaf roller,bladroller,7
louse,luis,7
bumblebee,hommel,7
large white,grote witte,7
cicada,cicade,7
thrips,trips,7
fruit fly,fruit vlieg,7
army ant,leger mier,7
horn fly,hoorn vlieg,7
vinegar fly,azijnvlieg,8
dung beetle,mestkever,8
pine sawyer,dennenzaag,8
digger wasp,graafwesp,8
tobacco moth,tabaksmot,8
aphid,bladluis,8
sand cricket,zand krekel,8
water bug,water insect,8
plant hopper,plantenbak,8
antler moth,gewei mot,8
tiger moth,tijgermot,9
water beetle,waterkever,9
carpet moth,tapijtmot,9
field cricket,veldcricket,9
cotton strain,katoensoort,9
bark beetle,schorskever,9
common mosquito,gewone mug,9
cockroach,kakkerlak,9
soft scale,zachte schaal,9
drosophila,drosophila,9
horse tick,paardenteek,10
ant lion,mierenleeuw,10
cinnabar,cinnaber,10
crane fly,Langpootmug,10
stag beetle,hert kever,10
eggar,eggar,10
mourning cloak,rouwmantel,10
clothes moth,kledingmot,10
almond moth,amandelmot,10
scale insect,schaalinsect,10
earwig,oorworm,11
katydid,katydid,11
tiger beetle,tijger kever,11
codling moth,fruitmot,11
mealybug,wolluis,11
queen bee,bijenkoningin,11
locust,sprinkhaan,11
carpet beetle,tapijt kever,11
apple aphid,appelluis,11
pharaoh ant,farao mier,11
blister beetle,blaarkever,12
honeybee,honingbij,12
fish fly,vissen vliegen,12
weevil,snuitkever,12
hanging fly,hangende vlieg,12
walking leaf,wandelend blad,12
leaf miner,mineervlieg,12
andrena,andrena,12
wax insect,wassen insect,12
mole cricket,mol cricket,12
adelgid,adelgid,13
carpenter bee,timmermansbij,13
head louse,hoofdluis,13
bird louse,vogelluis,13
cabbage butterfly,koolvlinder,13
flea beetle,vlooienkever,13
gypsy moth,zigeunermot,13
cynthia moth,cynthia mot,13
crab louse,krab luis,13
tineid,tineid,13
velvet ant,fluwelen mier,14
