EngWord,NldWord,Group
law,wet,0
game,spel,0
service,dienst,0
sport,sport,0
trade,handel,0
talk,praten,0
position,positie,0
lesson,les,0
services,Diensten,0
career,carrière,0
lecture,lezing,1
language lesson,taalles,1
golf lesson,golfles,1
dance lesson,dansles,1
education,opleiding,1
profession,beroep,1
internship,stage,1
sewing,naaien,1
politics,politiek,1
knitting,breien,1
minister,minister,2
throne,troon,2
catering,catering,2
case load,caseload,2
plum,Pruim,2
coaching,coaching,2
teaching,onderwijs,2
spinning,draaien,2
weaving,weven,2
sumo,sumo,2
appointment,afspraak,3
business life,zakenleven,3
farming,landbouw,3
apprenticeship,stage,3
cabinet minister,minister,3
gig,optreden,3
violin lesson,vioolles,3
piano lesson,piano les,3
netting,netten,3
couture,couture,3
phonics,klanken,4
technology,technologie,4
schooling,scholing,4
language teaching,taal leren,4
clerkship,stage,4
crocheting,haken,4
engagement,verloving,4
workload,werkdruk,4
photography,fotografie,4
literature,literatuur,4
teaching reading,leren lezen,5
painting,schilderen,5
ministry,ministerie,5
hot seat,hete stoel,5
theology,theologie,5
treadmill,loopband,5
music lesson,muziek les,5
tanning,zonnebank,5
piloting,loodsen,5
tennis lesson,tennis les,5
tailoring,maatwerk,6
handicraft,handwerk,6
lighting,verlichting,6
upholstery,bekleding,6
needlework,handwerk,6
lace making,Kant maken,6
tutelage,voogdij,6
lumbering,sjouwen,6
mintage,oplage,6
plumbing,loodgieter,6
medicine,geneesmiddel,7
emirate,emiraat,7
architecture,architectuur,7
furnishing,inrichting,7
metier,metier,7
slating,leien,7
suturing,hechten,7
walk of life,levenswandel,7
caliphate,kalifaat,7
residency,residentie,7
public service,publieke dienst,8
carpentry,timmerwerk,8
khanate,khanate,8
prefecture,prefectuur,8
paper route,papier route,8
chaplaincy,pastoraat,8
telecommuting,telewerken,8
custodianship,voogdij,8
editorship,redactie,8
fatherhood,vaderschap,8
typography,typografie,9
double entry,dubbele ingang,9
undertaking,onderneming,9
catechesis,catechese,9
masonry,metselwerk,9
employment,werkgelegenheid,9
public office,openbaar kantoor,9
bricklaying,metselen,9
seafaring,zeevarend,9
lectureship,lectoraat,9
regency,regentschap,10
fatherhood,vaderschap,10
cabotage,cabotage,10
professional football,betaald voetbal,10
winemaking,wijn maken,10
accountancy,boekhouding,10
piecework,stukwerk,10
automotive technology,autotechnologie,10
bookbinding,boekbinden,10
deanship,decanaat,10
single entry,eenmalige toegang,11
trusteeship,trustschap,11
electrical work,elektrisch werk,11
professional golf,professionele golf,11
pottery,pottenbakkerij,11
sainthood,heiligheid,11
attorneyship,advocaat,11
bookkeeping,boekhouding,11
roofing,dakbedekking,11
sinecure,sinecure,11
journalism,journalistiek,12
headship,hoofdschap,12
computer technology,computer technologie,12
learned profession,geleerd beroep,12
auto mechanics,auto mechanica,12
cost accounting,kostenberekening,12
curacy,juistheid,12
automation,automatisering,12
headship,hoofdschap,12
baronetage,baronetage,12
premiership,premierschap,13
bishopry,bisdom,13
consulship,consulaat,13
chalk talk,krijt praten,13
rabbinate,rabbinaat,13
associateship,associatie,13
last in first out,"Laatste erin, eerste eruit",13
high technology,geavanceerde technologie,13
incumbency,incumbency,13
alternative medicine,alternatief medicijn,13
first in first out,"als eerste erin, als eerste eruit",14
admiralty,admiraliteit,14
