EngWord,NldWord,Group
ass,kont,0
tom,Tom,0
cat,kat,0
dog,hond,0
gnu,gnu,0
bay,baai,0
ram,RAM,0
fox,vos,0
jack,jack,0
rat,Rat,0
monkey,aap,1
mouse,muis,1
bear,beer,1
kid,kind,1
cattle,vee,1
cow,koe,1
deer,hert,1
doe,doe,1
wolf,wolf,1
horse,paard,1
bitch,teef,2
livestock,vee,2
seal,zegel,2
kitty,pot,2
buck,bok,2
hart,hart,2
grey,grijs,2
lion,leeuw,2
cur,cur,2
billy,Billy,2
killer whale,orka,3
bull,stier,3
grade,cijfer,3
guinea pig,cavia,3
puppy,puppy,3
goat,geit,3
pony,pony,3
ox,os,3
ape,aap,3
badger,das,3
homo,homo,4
lynx,lynx,4
beaver,bever,4
stag,hert,4
tiger,tijger,4
camel,kameel,4
mole,wrat,4
pointer,wijzer,4
elk,eland,4
fisher,visser,4
world,wereld-,5
bullock,os,5
pocket rat,zakrat,5
roe deer,reeën,5
zebra,zebra,5
hound,hond,5
hare,haas,5
dun,dun,5
nanny,oppas,5
mara,mara,5
palm cat,palmkat,6
domestic cat,huiskat,6
rabbit,konijn,6
hedgehog,egel,6
chow,chow,6
wood mouse,bosmuis,6
pocket mouse,zakmuis,6
boxer,bokser,6
panther,panter,6
sheep,schaap,6
ice bear,ijsbeer,7
sow,zeug,7
beagle,brak,7
bison,bizon,7
yak,jak,7
kit fox,kit vos,7
ferret,fret,7
jaguar,jaguar,7
charger,oplader,7
hack,hacken,7
llama,lama,8
mare,merrie,8
wood rat,houtrat,8
sand rat,zandrat,8
bunny,konijn,8
steed,ros,8
sperm whale,potvis,8
hog,varken,8
dairy cattle,melkvee,8
whale,walvis,8
genet,genet,9
sea cow,zee koe,9
otter,Otter,9
coyote,coyote,9
pollard,knots,9
pinto,pinto,9
working dog,werkhond,9
fur seal,pelsrob,9
corgi,corgi,9
bulldog,buldog,9
hind,hindi,10
elephant,olifant,10
bat,knuppel,10
cougar,poema,10
stallion,hengst,10
ewe,ooi,10
mustang,mustang,10
wether,of,10
forest goat,bosgeit,10
field mouse,veldmuis,10
house mouse,huismuis,11
big cat,grote kat,11
mink,nerts,11
vixen,vixen,11
red fox,rode vos,11
queen,koningin,11
gib,gib,11
koala,koala,11
gelding,ruin,11
weasel,wezel,11
sand cat,zand kat,12
apar,apart,12
boar,zwijn,12
