Group,Level
5,6
0,6
25,14
2,18
16,18
7,19
8,19
10,20
1,20
24,20
15,23
22,24
30,26
39,27
3,28
6,28
38,32
12,32
9,33
19,33
17,33
14,34
11,36
28,36
18,37
29,37
41,39
34,41
48,42
4,42
33,43
13,45
26,45
37,46
27,46
23,46
20,48
47,51
21,52
42,53
35,53
51,53
40,54
50,54
64,55
32,55
36,57
56,59
31,60
49,62
65,63
44,64
76,64
43,64
68,65
45,65
58,66
57,66
59,67
54,70
71,70
69,71
60,71
75,73
72,73
61,74
55,74
70,76
52,76
67,76
66,77
46,79
79,79
77,80
80,80
78,81
62,81
53,82
85,82
84,82
81,83
74,83
82,83
73,85
86,85
83,87
91,88
94,89
63,90
93,91
88,91
95,92
89,93
87,93
92,93
101,94
100,95
99,95
98,95
102,95
103,96
104,96
105,96
115,96
114,96
113,96
112,96
111,96
110,97
109,97
108,97
116,97
107,97
106,97
97,100
96,100
90,101
