EngWord,NldWord,Group
book,boek,0
cut,snee,0
cut,snee,0
lead,lood,0
bass,bas,0
text,tekst,0
soul,ziel,0
spot,plek,0
spot,plek,0
round,ronde,0
phrase,zin,1
blues,blues,1
section,sectie,1
suite,suite,1
canon,canon,1
solo,solo,1
theme,thema,1
place,plaats,1
study,studie,1
jazz,jazz-,1
score,scoren,2
song,liedje,2
opera,opera,2
rap,tik,2
jazz,jazz-,2
trio,trio,2
intro,intro,2
carol,Carol,2
funk,funk,2
scat,scat,2
disco,disco,3
part,een deel,3
opening,opening,3
article,artikel,3
bop,bop,3
aria,aria,3
waltz,wals,3
rider,rijder,3
techno,techno,3
jig,jig,3
samba,samba,4
tango,tango,4
anthem,hymne,4
reel,haspel,4
duet,duet,4
reggae,reggae,4
quotation,citaat,4
ballet,ballet,4
octet,octet,4
riff,riff,4
largo,largo,5
movement,beweging,5
motif,motief,5
chapter,hoofdstuk,5
statement,uitspraak,5
lead sheet,bladlood,5
sonata,sonate,5
hymn,hymne,5
primo,primo,5
finale,finale,5
jump,springen,6
boogie,boogie,6
passage,passage,6
polka,polka,6
fugue,fuga,6
medley,medley,6
work song,werk lied,6
theme song,themalied,6
transition,overgang,6
canto,canto,6
transition,overgang,7
passage,passage,7
canto,canto,7
insert,invoegen,7
quartet,kwartet,7
chant,zingen,7
resolution,oplossing,7
pop music,popmuziek,7
introduction,invoering,7
rumba,rumba,7
swing,schommel,8
teaser,teaser,8
keen,vaardig,8
conga,conga,8
hot jazz,hete jazz,8
rondo,rondo,8
etude,etude,8
sura,soera,8
cadence,cadans,8
lied,gelogen,8
fado,fado,9
ground bass,grond bas,9
punk rock,punkrock,9
part music,deel muziek,9
voice part,stempartij,9
oldie,oudje,9
allegro,allegro,9
refrain,nalaten,9
symphony,symfonie,9
harmony,harmonie,9
variation,variatie,10
bolero,bolero,10
drinking song,drinklied,10
ballad,ballade,10
zydeco,zydeco,10
chorale,koraal,10
adagio,adagio,10
sheet music,bladmuziek,10
folk song,volkslied,10
above,bovenstaand,10
gospel,Evangelie,11
conclusion,conclusie,11
development,ontwikkeling,11
cool jazz,coole jazz,11
dance music,dans muziek,11
motet,motet,11
prelude,voorspel,11
epilogue,nawoord,11
dance music,dans muziek,11
sports section,sport sectie,11
vamp,vampier,12
black music,zwarte muziek,12
clipping,knippen,12
epilogue,nawoord,12
concerto,concerto,12
ragtime,ragtime,12
andante,andante,12
tune,afstemmen,12
inversion,inversie,12
quintet,kwintet,12
episode,aflevering,13
ditty,liedje,13
flamenco,flamenco,13
country music,Country muziek,13
prologue,proloog,13
sextet,sextet,13
spiritual,spiritueel,13
dissolve,oplossen,13
love song,liefdesliedje,13
flourish,floreren,13
chamber music,kamermuziek,14
