Group,Level
0,0
1,0
32,0
5,0
2,0
6,1
4,2
8,4
3,5
20,5
22,5
7,5
58,6
12,6
16,7
19,7
42,8
15,8
56,8
36,9
69,9
26,9
33,9
23,10
24,10
53,10
18,10
63,10
14,11
60,11
9,11
10,12
57,13
25,14
89,15
13,16
78,17
71,17
17,17
44,18
21,19
59,20
38,20
39,20
72,21
93,21
50,22
11,22
97,23
83,23
28,23
49,24
70,25
48,25
91,26
29,26
55,26
79,27
37,27
64,28
77,28
84,30
75,31
35,31
65,32
27,33
40,33
74,33
41,34
85,36
112,37
87,37
115,37
81,40
66,41
76,41
30,42
106,43
46,43
34,43
52,43
94,44
101,44
68,45
120,45
67,45
92,46
103,46
98,47
95,47
43,47
90,48
111,48
54,49
31,51
86,52
104,54
47,55
122,58
73,58
88,59
96,59
105,61
80,61
82,63
99,64
113,64
45,66
114,67
51,68
133,70
102,70
121,70
109,71
108,71
129,72
123,72
145,72
107,73
110,73
119,74
125,75
118,76
126,78
61,78
127,79
141,80
140,80
138,81
134,82
136,83
62,83
139,84
156,87
100,87
130,87
132,91
137,92
148,94
124,95
143,98
135,100
149,101
128,102
159,106
155,106
162,107
152,108
150,109
153,110
144,111
117,112
147,112
151,113
160,118
158,118
161,120
146,125
168,126
131,128
116,128
166,129
142,130
164,133
154,134
157,134
167,135
169,135
165,139
171,142
175,146
174,150
180,153
181,161
177,163
176,164
190,171
191,171
192,171
193,171
194,172
195,172
196,172
197,172
198,172
199,172
200,172
201,172
202,172
203,172
204,173
205,173
206,173
207,173
208,173
189,173
188,173
187,173
170,173
163,174
172,174
186,174
173,174
178,175
179,175
182,175
183,175
184,175
185,175
209,175
210,175
211,175
212,178
