EngWord,NldWord,Group
dragon,draak,0
asp,adder,0
asp,adder,0
snake,slang,0
python,Python,0
cobra,cobra,0
racer,racer,0
sea snake,zeeslang,0
milk snake,melkslang,0
sand snake,zandslang,0
boa,boa,1
viper,adder,1
rock python,rotspython,1
gecko,gekko,1
grass snake,ringslang,1
lizard,hagedis,1
ground snake,grondslang,1
mountain devil,bergduivel,1
water snake,Waterslang,1
ribbon snake,lint slang,1
turtle,schildpad,2
corn snake,graanslang,2
adder,adder,2
ridley,ridley,2
pit viper,pitadder,2
crocodile,krokodil,2
chameleon,kameleon,2
night snake,nachtslang,2
alligator,alligator,2
mamba,mamba,2
rat snake,rattenslang,3
pine snake,dennenslang,3
dinosaur,dinosaurus,3
sidewinder,zijwind,3
tiger snake,tijgerslang,3
bull snake,stier slang,3
tortoise,schildpad,3
chicken snake,kippenslang,3
anaconda,anaconda,3
rosy boa,roze boa,3
skink,skink,4
cooter,cooter,4
loggerhead,onechte,4
blind snake,blinde slang,4
caiman,kaaiman,4
carpet snake,tapijt slang,4
coral snake,koraal slang,4
coral snake,koraal slang,4
agama,agama,4
green snake,groene slang,4
puff adder,bladerdeeg,5
death adder,doodsadder,5
green snake,groene slang,5
king snake,koningsslang,5
moloch,Moloch,5
thunder snake,donder slang,5
sea turtle,zeeschildpad,5
copperhead,koperkop,5
teju,teju,5
basilisk,basilisk,5
copperhead,koperkop,6
tree lizard,boomhagedis,6
sand lizard,zandhagedis,6
taipan,taipan,6
blue racer,blauwe racer,6
fence lizard,hek hagedis,6
indigo snake,indigo slang,6
hoop snake,hoepel slang,6
rattlesnake,ratelslang,6
krait,krait,6
diamondback,diamantrug,7
tuatara,tuatara,7
marine iguana,zeeleguanen,7
saurian,sauriër,7
gopher snake,gopherslang,7
lyre snake,lier slang,7
worm lizard,worm hagedis,7
theropod,theropode,7
mountain skink,berg skink,7
ground rattler,grondratel,7
glass lizard,glas hagedis,8
box turtle,doosschildpad,8
rubber boa,rubberen boa,8
ringneck snake,halsslang,8
iguanodon,iguanodon,8
lined snake,gevoerde slang,8
vine snake,wijnstok slang,8
night lizard,nacht hagedis,8
racerunner,renner,8
constrictor,constrictor,8
chelonian,chelonisch,9
cynodont,cynodont,9
blindworm,hazelworm,9
green lizard,groene hagedis,9
diplodocus,diplodocus,9
beaded lizard,kralen hagedis,9
synapsid,synapsid,9
sauropod,sauropoden,9
rough green snake,ruwe groene slang,9
black mamba,zwarte mamba,9
mud turtle,modderschildpad,10
monitor,toezicht houden op,10
slider,schuifregelaar,10
Diapsida,Diapsida,10
whiptail,zweepstaart,10
triceratops,triceratops,10
deinonychus,deinonychus,10
thecodont,thecodont,10
spectacled caiman,brilkaaiman,10
dimetrodon,dimetrodon,10
pterodactyl,pterodactyl,11
pterosaur,pterosaurus,11
glossy snake,glanzende slang,11
green turtle,groene schildpad,11
common water snake,gewone waterslang,11
green mamba,groene mamba,11
dicynodont,dicynodont,11
common snapping turtle,Bijtschildpad,11
velociraptor,velociraptor,11
edaphosaurus,edafosaurus,11
massasauga,massasauga,12
black rat snake,zwarte rattenslang,12
sagebrush lizard,alsem hagedis,12
agamid,agamid,12
anapsid,anapsid,12
gopher tortoise,gopherschildpad,12
barosaur,barosaurus,12
leopard lizard,luipaard hagedis,12
smooth green snake,gladde groene slang,12
eastern ground snake,oostelijke grondslang,12
musk turtle,muskusschildpad,13
flying gecko,vliegende gekko,13
common iguana,gewone leguaan,13
hadrosaur,hadrosauriër,13
giant tortoise,reuzenschildpad,13
western coral snake,westelijke koraalslang,13
trachodon,trachodon,13
saurischian,saurischian,13
nothosaur,nothosaurus,13
garter snake,kousenbandslang,13
apatosaur,apatosaurus,14
eastern coral snake,oostelijke koraalslang,14
coachwhip,coachwhip,14
Edmontonia,Edmontonia,14
horned viper,gehoornde adder,14
western blind snake,westerse blinde slang,14
banded gecko,gestreepte gekko,14
water moccasin,water mocassin,14
alligator lizard,alligator hagedis,14
collared lizard,halsbandhagedis,14
water moccasin,water mocassin,15
utahraptor,utahraptor,15
desert tortoise,woestijnschildpad,15
eoraptor,eoraptor,15
elapid,verstrijken,15
gavial,gaviaal,15
rock rattlesnake,rots ratelslang,15
ornithopod,ornithopoden,15
desert iguana,woestijn leguaan,15
ringhals,ringhals,15
diapsid,diapsid,16
eastern indigo snake,oosterse indigo slang,16
iguanid,leguaan,16
venomous lizard,giftige hagedis,16
anatotitan,anatotaan,16
painted turtle,geschilderde schildpad,16
archosaur,archosaurus,16
hawksbill turtle,karetschildpad,16
horned lizard,gehoornde hagedis,16
tyrannosaur,tyrannosaurus,16
terrapin,moerasschildpad,17
ceratopsian,ceratopsian,17
hognose snake,hognose slang,17
stegosaur,stegosauriër,17
blacksnake,zwarte slang,17
ornithomimid,ornithomimid,17
caiman lizard,kaaiman hagedis,17
western skink,westerse skink,17
eastern fence lizard,oostelijke hek hagedis,17
leatherback turtle,lederschildpad,17
