EngWord,NldWord,Group
point,punt,0
curvature,kromming,0
sharpness,scherpte,0
topography,topografie,0
dullness,saaiheid,0
narrowing,vernauwing,0
roundness,rondheid,0
hollowness,holheid,0
constriction,vernauwing,0
acuteness,scherpte,0
stratification,gelaagdheid,1
straightness,rechtheid,1
straightness,rechtheid,1
convexity,convexiteit,1
coarctation,coarctatie,1
crookedness,kromheid,1
taper,taps toelopen,1
roundedness,ronding,1
squareness,haaksheid,1
concavity,concaafheid,1
angularity,hoekigheid,2
eccentricity,excentriciteit,2
circularity,circulariteit,2
orthogonality,orthogonaliteit,2
sphericity,bolvormigheid,2
rectangularity,rechthoekig,2
cylindricality,cilindriteit,2
oblateness,afgeplatheid,2
perpendicularity,loodrechtheid,2
concentricity,concentriciteit,2
lobularity,lobulariteit,3
curliness,krullerigheid,3
unpointedness,onpuntigheid,3
obtuseness,stompzinnigheid,3
triangularity,driehoekigheid,3
