EngWord,NldWord,Group
golf,golf,0
track,spoor,0
ball,bal,0
racing,racen,0
court game,hofspel,0
day game,dag spel,0
tennis,tennis,0
fishing,vissen,0
hunt,jacht,0
rugby,rugby,0
field game,veldspel,1
skiing,skiën,1
ball game,balspel,1
riding,rijden,1
cricket,krekel,1
polo,polo,1
fight,gevecht,1
boxing,boksen,1
dive,duiken,1
soccer,voetbal,1
dip,duik,2
night game,nachtspel,2
swimming,zwemmen,2
team sport,teamsport,2
match play,Matchplay,2
casting,gieten,2
crab,krab,2
steal,stelen,2
water sport,watersport,2
basketball,basketbal,2
boat racing,boot race,3
scuba diving,duiken,3
surfing,surfen,3
troll,trol,3
clock golf,klok golf,3
fox hunting,Vos jagen,3
ice hockey,ijshockey,3
squash,Squash,3
baseball,basketbal,3
sumo,sumo,3
outdoor game,buitenspel,4
spar,spar,4
softball,softbal,4
judo,judo,4
floating,drijvend,4
rowing,roeien,4
auto racing,auto racen,4
miniature golf,minigolf,4
round of golf,rondje golf,4
blood sport,bloed sport,4
outdoor sport,buitensport,5
high jump,hoge sprong,5
track and field,baan en veld,5
angling,vissen,5
netball,netbal,5
bathe,baden,5
skin diving,snorkelen,5
jumping,springen,5
wrestling,worstelen,5
croquet,kroket,5
deck tennis,dek tennis,6
lacrosse,lacrosse,6
perfect game,perfect spel,6
overcast,bewolkt,6
bicycling,fietsen,6
gainer,gainer,6
flip,omdraaien,6
volleyball,volleybal,6
water polo,waterpolo,6
fives,vijven,6
contact sport,Contact sport,7
rollerblading,skaten,7
field hockey,veld hockey,7
rounders,ronden,7
belly flop,buik flop,7
horse racing,paardenracen,7
paintball,paintball,7
handball,handbal,7
speed skating,schaatsen,7
spectator sport,kijksport,7
swan dive,snoekduik,8
cycling,wielersport,8
sledding,rodelen,8
badminton,badminton,8
professional golf,professionele golf,8
ice skating,schaatsen,8
hardball,hardbal,8
singles,vrijgezellen,8
professional football,betaald voetbal,8
quoits,quoits,8
dressage,dressuur,9
broad jump,brede sprong,9
snorkeling,snorkelen,9
rock climbing,rotsklimmen,9
singles,vrijgezellen,9
cliff diving,klifduiken,9
tobogganing,rodelen,9
football,Amerikaans voetbal,9
coursing,coursing,9
touch football,voetbal aanraken,9
deer hunting,herten jagen,10
surf casting,surfcasting,10
pallone,pallone,10
shuffleboard,sjoelbak,10
jai alai,jai alai,10
fly casting,vlieg gieten,10
camel racing,kameel racen,10
shinny,glanzend,10
luging,sjouwen,10
gymnastics,gymnastiek,10
doubles,verdubbelt,11
doubles,verdubbelt,11
sculling,sculling,11
hurling,slingeren,11
bait casting,aas gieten,11
professional baseball,professioneel honkbal,11
athletic game,atletisch spel,11
piaffe,piaffe,11
royal tennis,koninklijk tennis,11
professional basketball,professioneel basketbal,11
pushball,pushbal,12
ducking,wegduiken,12
professional tennis,professioneel tennis,12
ski jumping,ski springen,12
medal play,medaille spel,12
jackknife,jackknife,12
equestrian sport,paardensport,12
beagling,beagling,12
roller skating,rolschaatsen,12
stickball,stickball,12
bobsledding,bobsleeën,13
skating,het schaatsen,13
acrobatics,acrobatiek,13
racquetball,racquetball,13
professional wrestling,professioneel worstelen,13
professional boxing,professioneel boksen,13
motorcycling,motorrijden,13
tetherball,tetherball,13
skateboarding,skateboarden,13
archery,boogschieten,13
figure skating,figuurschaatsen,14
cross-country riding,langlaufen,14
showjumping,springsport,14
dune cycling,duin fietsen,14
daisy cutter,madeliefjessnijder,14
battue,drijfjacht,14
flying mare,vliegende merrie,14
cross-country skiing,langlaufen,14
battledore,battledore,14
two-hitter,twee-hitter,14
thoroughbred racing,volbloed racen,15
greyhound racing,windhondenraces,15
half gainer,halve gainer,15
water-skiing,waterskiën,15
ultimate frisbee,ultieme frisbee,15
three-hitter,drie-hitter,15
one-hitter,one-hitter,15
funambulism,funambulisme,15
in-fighting,in de strijd,15
Fosbury flop,Fosbury-flop,15
curvet,bokkesprong,16
bullfighting,stierenvechten,16
fly-fishing,vlieg vissen,16
skinny-dip,naaktzwemmen,16
four-hitter,vier-hitter,16
five-hitter,vijf-hitter,16
cockfighting,hanengevechten,16
pony-trekking,pony-trekking,16
dead-man's float,dodemansdrijver,16
rope-a-dope,touw-een-dope,16
hydroplane racing,watervliegtuig racen,17
American football,Amerikaans voetbal,17
pigsticking,varkenssteken,17
three-day event,driedaags evenement,17
no-hit game,spel zonder treffers,17
Greco-Roman wrestling,Grieks-Romeins worstelen,17
