EngWord,NldWord,Group
car,auto,0
van,van,0
van,van,0
car,auto,0
van,van,0
bus,bus,0
boat,boot,0
ship,schip,0
mobile home,camper,0
tank,tank,0
jet,Jet,1
coach,coach,1
cab,taxi,1
cab,taxi,1
jeep,jeep,1
trap,val,1
launch,launch,1
shell,schelp,1
tender,teder,1
tender,teder,1
tender,teder,2
bicycle,fiets,2
vessel,schip,2
rocket,raket,2
tin can,blikje,2
sea boat,zeeboot,2
yacht,jacht,2
compact,compact,2
water cart,waterkar,2
laundry cart,waskar,2
ark,ark,3
balloon,ballon,3
surrey,Surrey,3
canoe,kano,3
missile,raket,3
wagon,wagen,3
wagon,wagen,3
carriage,koets,3
club car,club auto,3
buzz bomb,zoembom,3
sedan,sedan,4
berlin,berlijn,4
coupe,coupe,4
craft,Ambacht,4
racer,racer,4
ordinary,normaal,4
tea cart,thee kar,4
junk,rommel,4
fighter,vechter,4
pickup,Raap op,4
hulk,hulk,5
wreck,wrak,5
pirate,piraat,5
punt,punt,5
weather ship,weerschip,5
mail car,post auto,5
bottom,onderkant,5
tractor,tractor,5
technical,technisch,5
racing boat,race boot,5
cutter,snijder,6
scooter,scooter,6
liner,voering,6
smoker,roker,6
ferry,veerboot,6
corvette,korvet,6
sled,slee,6
buggy,buggy,6
laundry truck,waswagen,6
smack,slaan,6
horse cart,paardenkar,7
half track,half spoor,7
sports car,sportwagen,7
tractor,tractor,7
pilot boat,loodsboot,7
tank car,tankwagen,7
brig,brik,7
flying boat,vliegboot,7
truck,vrachtauto,7
hand truck,steekwagen,7
minivan,busje,8
cattle car,veewagen,8
chariot,wagen,8
chariot,wagen,8
river boat,rivierboot,8
picket,piket,8
gig,optreden,8
cruiser,kruiser,8
bark,blaffen,8
gig,optreden,8
electric,elektrisch,9
shooting brake,schietrem,9
pony cart,pony kar,9
carrier,vervoerder,9
ice wagon,ijswagen,9
cruiser,kruiser,9
shopping cart,winkelwagen,9
tank engine,tank motor,9
bumper car,botsauto,9
small ship,klein schip,9
streetcar,tram,10
lander,lander,10
gig,optreden,10
drone,drone,10
guard ship,wachtschip,10
school ship,schoolschip,10
pace car,tempo auto,10
milk float,melkwagen,10
coal car,kolen auto,10
