EngWord,NldWord,Group
car,auto,0
van,van,0
bus,bus,0
boat,boot,0
ship,schip,0
tank,tank,0
jet,Jet,0
mobile home,camper,0
coach,coach,0
cab,taxi,0
jeep,jeep,1
trap,val,1
sea boat,zeeboot,1
launch,launch,1
tender,teder,1
vessel,schip,1
rocket,raket,1
shell,schelp,1
water cart,waterkar,1
tin can,blikje,1
bicycle,fiets,2
laundry cart,waskar,2
yacht,jacht,2
missile,raket,2
compact,compact,2
ark,ark,2
wagon,wagen,2
coupe,coupe,2
ordinary,normaal,2
balloon,ballon,2
berlin,berlijn,3
canoe,kano,3
junk,rommel,3
surrey,Surrey,3
sedan,sedan,3
carriage,koets,3
buzz bomb,zoembom,3
tea cart,thee kar,3
craft,ambacht,3
mail car,post auto,3
wreck,wrak,4
racer,racer,4
fighter,vechter,4
club car,club auto,4
hulk,hulk,4
technical,technisch,4
pirate,piraat,4
punt,punt,4
corvette,korvet,4
weather ship,weerschip,4
bottom,onderkant,5
racing boat,race boot,5
liner,voering,5
pickup,oppakken,5
ferry,veerboot,5
cruiser,kruiser,5
tractor,tractor,5
cattle car,veewagen,5
buggy,buggy,5
bark,blaffen,5
sports car,sportwagen,6
cutter,snijder,6
smoker,roker,6
river boat,rivierboot,6
laundry truck,waswagen,6
sled,slee,6
tank car,tankwagen,6
smack,slaan,6
electric,elektrisch,6
hand truck,steekwagen,6
horse cart,paardenkar,7
brig,brik,7
pony cart,pony kar,7
half track,half spoor,7
pilot boat,loodsboot,7
gig,optreden,7
flying boat,vliegboot,7
bumper car,botsauto,7
scooter,scooter,7
ice wagon,ijswagen,7
guard ship,wachtschip,8
small ship,klein schip,8
chariot,wagen,8
minivan,busje,8
streetcar,tram,8
picket,piket,8
lander,lander,8
shooting brake,schietrem,8
milk float,melkwagen,8
drone,drone,8
school ship,schoolschip,9
tank engine,tank motor,9
shopping cart,winkelwagen,9
bassinet,wieg,9
truck,vrachtwagen,9
sailing vessel,zeilschip,9
clarence,clarence,9
carrier,vervoerder,9
slip coach,slip coach,9
kayak,kajakken,9
trail bike,trail fiets,10
hot rod,hete staaf,10
motorcycle,motorfiets,10
sister ship,zusterschip,10
dinky,dinky,10
