EngWord,NldWord,Group
high,hoog,0
low,laag,0
wind,wind,0
wave,Golf,0
snow,sneeuw,0
rain,regenen,0
shower,douche,0
fog,mist,0
breath,adem,0
gale,storm,0
elements,elementen,1
high wind,hoge wind,1
good weather,goed weer,1
cold weather,koud weer,1
hot weather,warm weer,1
raw weather,ruw weer,1
thaw,dooi,1
squall,bui,1
heat wave,hittegolf,1
fug,fug,1
south wind,Zuiderwind,2
puff,puffen,2
line storm,lijnstorm,2
west wind,westenwind,2
precipitation,neerslag,2
sea breeze,zeewind,2
breeze,briesje,2
flurry,vlaag,2
cyclone,cycloon,2
east wind,oostenwind,2
monsoon,moesson,3
chinook,chinook,3
calmness,rust,3
jet stream,jetstream,3
stillness,stilte,3
atmosphere,atmosfeer,3
bad weather,slecht weer,3
lull,wiegen,3
cold wave,koude golf,3
thermal,thermisch,3
trade wind,passaatwind,4
north wind,noordenwind,4
mistral,mistral,4
light air,lichte lucht,4
air mass,lucht massa,4
drizzle,motregen,4
bise,bise,4
freeze,bevriezen,4
gust,windvlaag,4
line squall,lijn bui,4
virga,maagd,5
fair weather,redelijk weer,5
crosswind,zijwind,5
fohn,fohn,5
rainstorm,regenbui,5
bluster,brullen,5
whole gale,hele storm,5
downpour,stortbui,5
fine spray,fijne spray,5
doldrums,doldrums,5
simoom,simoom,6
calm air,kalme lucht,6
mildness,mildheid,6
fresh gale,frisse wind,6
strong gale,sterke storm,6
draft,voorlopige versie,6
whiteout,white-out,6
moderate gale,matige storm,6
moderate breeze,matige wind,6
fresh breeze,fris briesje,6
turbulence,turbulentie,7
cloudiness,bewolking,7
northwest wind,noordwesten wind,7
scorcher,verzenger,7
headwind,tegenwind,7
levanter,levanter,7
khamsin,khamsin,7
harmattan,harmattan,7
light breeze,lichte bries,7
scattering,verstrooiing,7
strong breeze,sterke bries,8
hail,wees gegroet,8
gentle breeze,zacht briesje,8
sandblast,zandstraal,8
prevailing wind,heersende wind,8
airstream,luchtstroom,8
sleet,natte sneeuw,8
antitrades,antitrades,8
anticyclone,anticycloon,8
sultriness,zwoelheid,8
southwester,zuidwester,9
Santa Ana,Sinterklaas,9
choppiness,hakerigheid,9
prevailing westerly,overheersend westelijk,9
tramontane,tramontane,9
southeaster,zuidooster,9
balminess,balsemheid,9
breeziness,luchtigheid,9
tailwind,wind in de rug,9
downdraft,neerwaartse luchtstroom,9
updraft,opwaartse luchtstroom,10
thundershower,donder douche,10
tempestuousness,onstuimigheid,10
katabatic wind,katabatische wind,10
antitrade wind,antihandelswind,10
boisterousness,onstuimigheid,10
storminess,stormachtigheid,10
clear-air turbulence,turbulentie in de heldere lucht,10
