EngWord,NldWord,Group
now,nu,0
day,dag,0
white,wit,0
set,set,0
old,oud,0
home,huis,0
cell,cel,0
good,goed,0
high,hoog,0
sex,seks,0
name,naam,1
time,tijd,1
line,lijn,1
size,maat,1
yellow,geel,1
care,zorg,1
hope,hoop,1
box,doos,1
low,laag,1
point,punt,1
look,Look,2
class,klas,2
wish,wens,2
union,unie,2
red,rood,2
large,groot,2
room,kamer,2
life,leven,2
band,band,2
voice,stem,2
gold,goud,3
view,visie,3
lead,lood,3
first,eerst,3
star,ster,3
price,prijs,3
wrong,mis,3
death,dood,3
address,adres,3
date,datum,3
degree,rang,4
state,staat,4
self,zelf,4
cut,snee,4
black,zwart,4
opportunity,kans,4
tree,boom,4
wall,muur,4
wine,wijn,4
cool,koel,4
heart,hart,5
action,actie,5
skin,huid,5
fact,feit,5
night,nacht,5
start,begin,5
air,lucht,5
sheet,vel,5
better,beter,5
ball,bal,5
thing,ding,6
ring,ring,6
play,Speel,6
light,licht,6
fit,fit,6
error,fout,6
case,geval,6
pressure,druk,6
pain,pijn,6
core,kern,6
edge,kant,7
aid,hulp,7
block,blok,7
pink,roze,7
end,einde,7
trip,reis,7
cold,koud,7
phase,fase,7
small,klein,7
branch,tak,7
wild,wild,8
rose,roos,8
pocket,zak-,8
blue,blauw,8
row,rij,8
color,kleur,8
head,hoofd,8
rank,rang,8
hole,gat,8
least,minst,8
track,spoor,9
might,macht,9
corner,hoek,9
bass,bas,9
third,derde,9
nude,naakt,9
growth,groei,9
soul,ziel,9
cast,vorm,9
loop,lus,9
focus,focus,10
sort,soort,10
brown,bruin,10
cross,kruis,10
flash,flash,10
mode,modus,10
hearing,horen,10
authority,Gezag,10
spirit,geest,10
blood,bloed,10
framework,kader,11
bone,bot,11
luxury,luxe,11
hip,heup,11
gap,gat,11
youth,jeugd,11
virus,virus,11
ready,klaar,11
column,kolom,11
bell,klok,11
wheel,wiel,12
sequence,reeks,12
profit,winst,12
worth,waard,12
raw,rauw,12
dream,droom,12
concern,zorg,12
peace,vrede,12
sleep,slaap,12
wave,Golf,12
honor,eer,13
last,laatst,13
echo,echo,13
fear,angst,13
standing,staan,13
delta,delta,13
number,nummer,13
power,stroom,13
way,manier,13
mouth,mond,13
section,sectie,14
cup,beker,14
place,plaats,14
love,liefde,14
plane,vlak,14
stone,steen,14
desire,wens,14
bang,knal,14
leg,been,14
tone,toon,14
belt,riem,15
street,straat,15
angle,hoek,15
shot,schot,15
canon,canon,15
mobile,mobiel,15
say,zeggen,15
pipe,pijp,15
value,waarde,15
space,ruimte,15
today,vandaag,16
run,rennen,16
mercury,kwik,16
war,oorlog,16
yoga,yoga,16
welcome,welkom,16
smoke,rook,16
plenty,veel,16
tall,hoog,16
present,Cadeau,16
gulf,golf,17
company,bedrijf,17
force,kracht,17
juice,sap,17
sound,geluid,17
key,sleutel,17
piano,piano,17
figure,figuur,17
regard,groet,17
agency,bureau,17
body,lichaam,18
density,dikte,18
humor,humor,18
drama,drama,18
muscle,spier,18
blues,blues,18
privacy,privacy,18
nature,natuur,18
meter,meter,18
storm,storm,18
slot,sleuf,19
legs,poten,19
king,koning,19
gray,grijs,19
sin,zonde,19
volume,volume,19
effect,effect,19
cancer,kanker,19
arc,boog,19
running,rennen,19
score,scoren,20
stuff,spullen,20
success,succes,20
length,lengte,20
alarm,alarm,20
hook,haak,20
cloud,wolk,20
pit,pit,20
disease,ziekte,20
corn,maïs,20
roller,rol,21
debt,schuld,21
fame,roem,21
soup,soep,21
function,functie,21
tongue,tong,21
grade,cijfer,21
arch,boog,21
weight,gewicht,21
salmon,Zalm,21
bow,boog,22
in time,op tijd,22
dark,donker,22
face,gezicht,22
shock,schok,22
copper,koper,22
pride,trots,22
medium,medium,22
joke,grap,22
sector,sector,22
distance,afstand,23
loss,verlies,23
second,seconde,23
penalty,straf,23
ease,gemak,23
polish,Pools,23
side pocket,zijvak,23
office,kantoor,23
bitch,teef,23
bad,slechte,23
stream,stroom,24
contact,contact,24
fitness,fitness,24
base,baseren,24
boom,boom,24
fork,vork,24
childhood,jeugd,24
alto,alt,24
heat,warmte,24
account,account,24
mass,massa-,25
boundary,grens,25
lip,lip-,25
religion,geloof,25
orange,oranje,25
energy,energie,25
position,positie,25
pace,tempo,25
solid,stevig,25
scratch,kras,25
convenience,gemak,26
belly,buik,26
disk,schijf,26
favor,gunst,26
profile,profiel,26
stomach,maag,26
behavior,gedrag,26
ray,straal,26
rim,rand,26
void,leegte,26
good fortune,geluk,27
height,hoogte,27
lack,gebrek,27
margin,marge,27
amber,amber,27
wear,dragen,27
context,context,27
ticket,ticket,27
hull,romp,27
funk,funk,27
hollow,hol,28
sixth,zesde,28
manner,manier,28
barrel,loop,28
violence,geweld,28
conditions,conditie,28
period,periode,28
matrix,Matrix,28
format,formaat,28
depth,diepte,28
window,venster,29
roll,rollen,29
feeling,gevoel,29
vector,vector,29
purple,Purper,29
part,een deel,29
coverage,Dekking,29
throw,gooien,29
strength,kracht,29
cage,kooi,29
emphasis,nadruk,30
aspect,aspect,30
ultimate,ultieme,30
possession,bezit,30
right,Rechtsaf,30
green,groente,30
circle,cirkel,30
rise,opstaan,30
importance,belang,30
evil,slecht,30
courage,moed,31
tie,binden,31
ice age,ijstijd,31
leak,lek,31
extreme,extreem,31
flux,flux,31
chaos,chaos,31
scope,domein,31
vacuum,vacuüm,31
vintage,vintage,31
acne,acne,32
danger,Gevaar,32
fourth,vierde,32
noise,lawaai,32
odds,kansen,32
passion,passie,32
fault,schuld,32
dean,decaan,32
dirt,aarde,32
grip,greep,32
anger,woede,33
bite,beet,33
happiness,geluk,33
complex,complex,33
illness,ziekte,33
catch,vangst,33
asthma,astma,33
crisis,crisis,33
bowl,schaal,33
fifth,vijfde,33
dip,duik,34
wound,wond,34
petite,Fijn,34
stock,voorraad,34
moisture,vocht,34
beam,straal,34
bargain rate,koopje,34
behalf,namens,34
climate,klimaat,34
sleeping,slapen,34
regular,normaal,35
hold,uitstel,35
stretch,rekken,35
past,Verleden,35
tomorrow,morgen,35
timing,timing,35
bolt,bout,35
outer space,ruimte,35
old gold,oud goud,35
tumor,tumor,35
ego,ego,36
chocolate,chocola,36
hang,hangen,36
cube,kubus,36
curve,kromme,36
poverty,armoede,36
pull,trekken,36
bulb,lamp,36
guard,bewaker,36
mess,troep,36
canvas,canvas,37
rhythm,ritme,37
suffering,lijden,37
doubt,twijfel,37
tail,staart,37
corner pocket,hoekzak,37
fetish,fetisj,37
bump,buil,37
thickness,dikte,37
opening,opening,37
grief,rouw,38
crack,scheur,38
element,element,38
relationship,relatie,38
property,eigendom,38
grain,korrel,38
preservation,behoud,38
impression,indruk,38
drop,druppel,38
square one,vierkant,38
resource,hulpbron,39
olive,olijf-,39
front,voorkant,39
environment,omgeving,39
attention,aandacht,39
difference,verschil,39
bug,beestje,39
silence,stilte,39
cult,sekte,39
age,leeftijd,39
square,vierkant,40
wedge,wig,40
optics,optiek,40
lap,ronde,40
radius,straal,40
fold,vouwen,40
register,register,40
foam,schuim,40
pet,huisdier,40
rage,woede,40
status,toestand,41
bubble,bubbel,41
coral,koraal,41
pep,fut,41
lisp,lisp,41
fever,koorts,41
rain,regenen,41
trance,trance,41
dig,graven,41
withdrawal,opname,41
control,controle,42
breeding,fokken,42
groove,groef,42
blond,blond,42
problem,probleem,42
glow,gloed,42
mercy,genade,42
virtue,deugd,42
scoop,lepel,42
marble,marmer,42
give,verlenen,43
consequence,gevolg,43
deficit,tekort,43
urge,drang,43
severity,ernst,43
failing,falend,43
coil,spoel,43
stain,vlek,43
panic,paniek,43
being,het zijn,43
appetite,trek,44
comfort,comfort,44
walk,wandelen,44
freedom,vrijheid,44
carriage,koets,44
width,breedte,44
motion,beweging,44
flute,fluit,44
approach,nadering,44
fury,woede,44
participation,deelname,45
advantage,voordeel,45
distress,angst,45
whip,zweep,45
beige,beige,45
situation,situatie,45
beat,verslaan,45
vanity,trots,45
dent,deuk,45
ladder,ladder,45
tempo,tempo,46
dome,koepel,46
triumph,triomf,46
touch,aanraken,46
rest,rust uit,46
truth,waarheid,46
sweep,vegen,46
trauma,trauma,46
fidelity,trouw,46
white water,wit water,46
violet,paars,47
future,toekomst,47
sphere,gebied,47
pouch,zakje,47
sea power,zeemacht,47
niche,niche,47
yesterday,gisteren,47
avail,baten,47
character,karakter,47
bulk,massaal,47
command,opdracht,48
enjoyment,genot,48
speed,snelheid,48
mum,mamma,48
sorrow,leed,48
response,antwoord,48
nip,kneep,48
center stage,centraal,48
joy,vreugde,48
taboo,taboe,48
mania,manie,49
ridge,bergkam,49
cavity,holte,49
judgment,oordeel,49
ghetto,getto,49
rust,Roest,49
attachment,bijlage,49
license,licentie,49
knot,knoop,49
helix,helix,49
shadow,schaduw,50
drag,sleuren,50
operation,operatie,50
flash point,vlampunt,50
wreck,wrak,50
mortality,sterfte,50
ash grey,asgrijs,50
showcase,etalage,50
soap bubble,zeepbel,50
sting,steek,50
plague,pest,51
increase,toenemen,51
ability,vermogen,51
qi,qi,51
fracture,breuk,51
ordinary,normaal,51
wealth,rijkdom,51
roots,wortels,51
aura,aura,51
disorder,wanorde,51
mole,wrat,52
antenna,antenne,52
chap,kerel,52
horizon,horizon,52
seventh,zevende,52
marriage,huwelijk,52
injury,blessure,52
vogue,mode,52
nap,dutje,52
altitude,hoogte,52
chalk,krijt,53
education,opleiding,53
dun,dun,53
wrath,toorn,53
grind,malen,53
tenor,tenor,53
commission,commissie,53
palette,palet,53
quality,kwaliteit,53
former,vroegere,53
pip,Pip,54
crust,korst,54
bouquet,boeket,54
slack,slap,54
poison,vergif,54
gall,gal,54
sea green,zee groen,54
structure,structuur,54
top,bovenkant,54
hunger,honger,54
poker face,pokerface,55
flare,gloed,55
envelope,envelop,55
decay,verval,55
economy,economie,55
defect,defect,55
erosion,erosie,55
raj,raj,55
patience,geduld,55
stir,roeren,55
heart block,hartblok,56
emotion,emotie,56
cyan,cyaan,56
damn,verdomd,56
fortune,fortuin,56
trim,trimmen,56
full blood,vol bloed,56
pinch,kneep,56
hush,stil,56
shade,schaduw,56
good part,goed deel,57
rotation,rotatie,57
retirement,pensioen,57
veto,veto,57
utilization,gebruik,57
time bomb,tijdbom,57
allowance,zakgeld,57
coating,coating,57
coma,coma,57
stout,stout,57
mark,markering,58
good will,goede wil,58
bronze,bronzen,58
chic,chique,58
agony,nood,58
playing field,speelveld,58
tan,bruinen,58
upper hand,bovenhand,58
jag,jag,58
order,bestellen,58
brink,rand,59
tonight,vanavond,59
magnitude,grootte,59
texture,textuur,59
bleeding,bloeden,59
surety,borg,59
repair,reparatie,59
hue,tint,59
gutter,goot,59
bondage,slavernij,59
ozone hole,ozongat,60
breach,inbreuk,60
emerald,smaragd,60
nirvana,nirvana,60
salvation,redding,60
guilt,schuld,60
granite,graniet,60
forte,forte,60
verge,berm,60
delight,vreugde,60
nowhere,nergens,61
bloom,bloeien,61
ownership,eigendom,61
occurrence,voorval,61
hot stuff,goed spul,61
challenge,uitdaging,61
note,Opmerking,61
affair,affaire,61
conflict,conflict,61
hour angle,uur hoek,61
constitution,grondwet,62
cavern,grot,62
pencil,potlood,62
split,splitsen,62
clash,botsen,62
eighth,achtste,62
yellow jack,gele jack,62
duration,looptijd,62
thinking cap,denkhoed,62
emergency,noodgeval,62
elan,elan,63
contrast,contrast,63
definition,definitie,63
parallel,parallel,63
smut,vuil,63
yoke,juk,63
use,gebruiken,63
indigo,indigo,63
mystery,mysterie,63
event,evenement,63
dead hand,dode hand,64
woe,wee,64
lobe,kwab,64
free will,vrije wil,64
trouble,probleem,64
sensation,gevoel,64
stress,spanning,64
sickness,ziekte,64
eye disease,oogziekte,64
hygiene,hygiëne,64
tenth,tiende,65
black eye,zwart oog,65
excess,overmaat,65
herpes,herpes,65
streak,streep,65
lupus,lupus,65
cameo,cameo,65
pose,houding,65
determination,bepaling,65
warmth,warmte,65
eleventh,elfde,66
swing,schommel,66
animation,animatie,66
smog,smog,66
keel,kiel,66
huff,huff,66
wisdom,wijsheid,66
raising,opvoeden,66
leaf shape,bladvorm,66
cunning,sluw,66
dimension,dimensie,67
craze,rage,67
drive,drijfveer,67
jet lag,jetlag,67
print,afdrukken,67
thirst,dorst,67
era,tijdperk,67
old rose,oude roos,67
ulcer,zweer,67
balance,evenwicht,67
plume,pluim,68
pore,porie,68
facet,facet,68
prism,prisma,68
pleasure,genoegen,68
swamp,moeras,68
felicity,geluk,68
view angle,kijkhoek,68
vigil,waken,68
angst,angst,68
liberty,vrijheid,69
nobility,adel,69
worse,slechter,69
bounty,premie,69
absurd,absurd,69
caste,kaste,69
acreage,areaal,69
aperture,opening,69
entirety,geheel,69
disadvantage,nadeel,69
ninth,negende,70
lure,lokken,70
worst,slechtst,70
spiral,spiraal,70
voodoo,voodoo,70
seriousness,ernst,70
infection,infectie,70
caprice,gril,70
spectrum,spectrum,70
awe,ontzag,70
baroque,barok-,71
amelia,amelia,71
big time,grote tijd,71
decline,afwijzen,71
roulette,roulette,71
rift,breuk,71
irony,ironie,71
diameter,diameter,71
hot water,heet water,71
security,veiligheid,71
crop failure,misoogst,72
coalition,coalitie,72
dislike,afkeer,72
hangover,kater,72
dart,darten,72
zeal,ijver,72
sphinx,sfinx,72
climax,climax,72
flaw,gebrek,72
funnel,koker,72
pastel,pastel,73
here and now,hier en nu,73
simplicity,eenvoud,73
leverage,hefboom,73
coal black,gitzwart,73
preference,voorkeur,73
bishop,bisschop,73
haste,haast,73
inheritance,erfenis,73
chord,akkoord,73
cataract,staar,74
dilemma,dilemma,74
inclusion,inclusie,74
ecstasy,extase,74
stance,houding,74
crotch,kruis,74
wood grain,houtnerf,74
crunch,kraken,74
strawberry,aardbei,74
incident,incident,74
capability,vermogen,75
blister,blaar,75
morale,moreel,75
resignation,ontslag,75
bazaar,bazaar,75
lymphoma,lymfoom,75
bend,kromming,75
utopia,Utopia,75
misery,ellende,75
conscience,geweten,75
health,Gezondheid,76
red water,rood water,76
insight,in zicht,76
ecology,ecologie,76
mourning,rouwen,76
drought,droogte,76
regulation,regulatie,76
inhibition,remming,76
yellow green,geel groen,76
origin,oorsprong,76
fix,repareren,77
alert,alarmeren,77
reality,realiteit,77
tendency,tendens,77
esteem,achting,77
embrace,omarmen,77
eon,eon,77
bullet hole,kogelgat,77
kingdom,koninkrijk,77
ordination,wijding,77
chill,chillen,78
breakdown,afbreken,78
hypnosis,hypnose,78
