EngWord,NldWord,Group
fit,fit,0
sex,seks,0
wish,wens,0
pain,pijn,0
hope,hoop,0
soul,ziel,0
thing,ding,0
state,staat,0
concern,zorg,0
desire,wens,0
bang,knal,1
peace,vrede,1
fear,angst,1
regard,groet,1
stomach,maag,1
love,liefde,1
pride,trots,1
wound,wond,1
favor,gunst,1
alarm,alarm,1
anger,woede,2
happiness,geluk,2
grief,rouw,2
complex,complex,2
distance,afstand,2
ego,ego,2
comfort,comfort,2
fetish,fetisj,2
weight,gewicht,2
appetite,trek,2
glow,gloed,3
urge,drang,3
panic,paniek,3
enjoyment,genot,3
fever,koorts,3
passion,passie,3
withdrawal,opname,3
triumph,triomf,3
suffering,lijden,3
fury,woede,3
sorrow,leed,4
distress,angst,4
stir,roeren,4
emotion,emotie,4
attachment,bijlage,4
shadow,schaduw,4
pet,huisdier,4
joy,vreugde,4
wrath,toorn,4
conflict,conflict,4
guilt,schuld,5
sensation,gevoel,5
agony,nood,5
woe,wee,5
preference,voorkeur,5
awe,ontzag,5
pleasure,genoegen,5
delight,vreugde,5
nirvana,nirvana,5
good will,goede wil,5
conscience,geweten,6
isolation,isolatie,6
insight,in zicht,6
angst,angst,6
shame,schaamte,6
caprice,gril,6
zeal,ijver,6
resignation,ontslag,6
dislike,afkeer,6
chill,chillen,6
pang,pang,7
grudge,wrok,7
misery,ellende,7
security,veiligheid,7
ecstasy,extase,7
ambition,ambitie,7
depression,depressie,7
mourning,rouwen,7
unrest,onrust,7
despair,wanhoop,7
discomfort,ongemak,8
leaning,leunend,8
suspense,spanning,8
weakness,zwakheid,8
dolor,dolor,8
pique,piqué,8
libido,libido,8
sinking,zinkend,8
agape,agape,8
feelings,gevoelens,8
repentance,berouw,9
consolation,troost,9
buck fever,bokkoorts,9
surprise,verrassing,9
inclination,neiging,9
sweet tooth,zoetekauw,9
worship,aanbidding,9
calmness,rust,9
approval,goedkeuring,9
relief,Verlichting,9
soft spot,zachte plek,10
confidence,vertrouwen,10
resentment,rancune,10
aggression,agressie,10
emulation,emulatie,10
affect,beïnvloeden,10
wonder,vraag me af,10
sympathy,sympathie,10
coolness,koelte,10
creeps,kruipt,10
tranquillity,kalmte,11
envy,jaloezie,11
gusto,zin in,11
affection,affectie,11
gold fever,goudkoorts,11
amusement,amusement,11
easiness,gemak,11
addiction,verslaving,11
apathy,apathie,11
radiance,straling,11
good humor,goede humor,12
compassion,medeleven,12
daze,versuft,12
disgust,walging,12
euphoria,euforie,12
sadism,sadisme,12
growing pains,groeipijn,12
earnestness,ernst,12
jealousy,jaloezie,12
penis envy,penisnijd,12
loyalty,loyaliteit,13
sentiment,sentiment,13
cruelty,wreedheid,13
agitation,agitatie,13
annoyance,ergernis,13
empathy,empathie,13
attrition,slijtage,13
tumult,tumult,13
nostalgia,nostalgie,13
hopefulness,hoop,13
sadness,droefheid,14
cynicism,cynisme,14
cold feet,koude voeten,14
civic pride,burgertrots,14
tenderness,tederheid,14
cold comfort,koude troost,14
optimism,optimisme,14
confusion,verwardheid,14
unhappiness,ongeluk,14
boredom,verveling,14
fulfillment,vervulling,15
craving,verlangen,15
hysteria,hysterie,15
satisfaction,tevredenheid,15
longing,verlangen,15
frustration,frustratie,15
temptation,verleiding,15
blahs,blabla,15
broken heart,gebroken hart,15
stewing,stoven,15
sulk,mokken,16
impatience,ongeduld,16
anxiety,ongerustheid,16
sensitivity,gevoeligheid,16
chagrin,verdriet,16
belonging,erbij horen,16
devotion,toewijding,16
expectation,verwachting,16
dignity,waardigheid,16
harassment,Intimidatie,16
contempt,minachting,17
disapproval,afkeuring,17
willies,willies,17
heaviness,zwaarte,17
the hots,de hots,17
puppy love,kalverliefde,17
homesickness,heimwee,17
class feeling,klasse gevoel,17
astonishment,verbazing,17
horror,verschrikking,17
closeness,nabijheid,18
wishfulness,wens,18
ill humor,slecht humeur,18
forgiveness,vergiffenis,18
afterglow,nagloeien,18
repugnance,afkeer,18
bonheur,bonheur,18
peeve,ergernis,18
fatigue,vermoeidheid,18
abhorrence,afschuw,18
electricity,elektriciteit,19
disinclination,afkeer,19
anticipation,anticipatie,19
wildness,wildheid,19
enthusiasm,enthousiasme,19
sexual pleasure,seksueel genot,19
