EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
Chinese paddlefish,Chinese peddelvissen,0,20,5,5,10
Atlantic cod,Atlantische kabeljauw,0,21,5,5,10
smalleye hammerhead,kleinoog hamerhaai,0,18,5,5,10
Pacific sturgeon,Pacifische steur,0,16,5,5,10
Atlantic sea bream,Atlantische zeebrasem,0,21,5,5,10
cypriniform fish,cypriniforme vis,0,16,5,5,10
deepwater squirrelfish,diepwater eekhoornvis,0,21,5,5,10
crossopterygian,crossopterygisch,0,16,5,5,10
tripletail,drievoudige staart,0,18,5,5,10
Pacific halibut,Pacifische heilbot,0,18,5,5,10
spiny-finned fish,vis met stekelvin,0,17,5,5,10
Pacific spiny dogfish,Pacifische doornhaai,0,20,5,5,10
Coryphaena equisetis,Coryphaena equisetis,0,20,5,5,10
Coryphaena hippurus,Coryphaena hippurus,0,19,5,5,10
smalltooth sawfish,kleintand zaagvis,0,17,5,5,10
Pacific herring,Pacifische haring,0,17,5,5,10
Florida smoothhound,Florida gladde hond,0,19,5,5,10
European sea bream,Europese zeebrasem,0,18,5,5,10
bluethroat pikeblenny,blauwborst pikeblenny,0,21,5,5,10
Bermuda chub,Bermuda kopvoorn,0,16,5,5,10
soft-finned fish,vis met zachte vinnen,0,21,5,5,10
rainbow seaperch,regenboog zeebaars,0,18,5,5,10
sharptail mola,scherpe staart mola,0,19,5,5,10
Atlantic croaker,Atlantische croaker,0,19,5,5,10
Pacific tripletail,Pacific tripletail,0,18,5,5,10
alligatorfish,alligatorvissen,0,15,5,5,10
reef squirrelfish,rif eekhoornvis,0,15,5,5,10
shortfin mako,kortvin makreel,0,15,5,5,10
Florida pompano,Florida pompano,0,15,5,5,10
Arctic char,Arctische char,0,14,5,5,10
Atlantic herring,Atlantische haring,0,18,5,5,10
Pacific sardine,Pacifische sardine,0,18,5,5,10
Atlantic tripletail,Atlantische tripletail,0,22,5,5,10
belted sandfish,zandvis met riem,0,16,5,5,10
American plaice,Amerikaanse schol,0,17,5,5,10
