EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
two-spotted ladybug,tweestippelig lieveheersbeestje,0,31,5,5,10
thysanuran insect,thysanuran insect,0,17,5,5,10
common pond-skater,gewone vijverschaatser,0,22,5,5,10
dipterous insect,tweekleppig insect,0,18,5,5,10
orthopterous insect,orthopterus insect,0,18,5,5,10
Mediterranean flour moth,Mediterrane meelmot,0,19,5,5,10
dry-wood termite,droog hout termiet,0,18,5,5,10
homopterous insect,homopterous insect,0,18,5,5,10
lepidopterous insect,lepidopterous insect,0,20,5,5,10
American cockroach,Amerikaanse kakkerlak,0,21,5,5,10
Mediterranean fruit fly,Mediterrane fruitvlieg,0,22,5,5,10
Culex quinquefasciatus,Culex quinquefasciatus,0,22,5,5,10
slave-making ant,slavenmakende mier,0,18,5,5,10
Saratoga spittlebug,Saratoga spittlebug,0,19,5,5,10
common European earwig,gewone Europese oorworm,0,23,5,5,10
Manduca quinquemaculata,Manduca quinquemaculata,0,23,5,5,10
long-horned grasshopper,langhoornige sprinkhaan,0,23,5,5,10
casemaking clothes moth,casemaking kleding mot,0,22,5,5,10
Mastotermes electrodominicus,Mastotermes electrodominicus,0,28,5,5,10
sweet-potato whitefly,zoete aardappel witte vlieg,0,27,5,5,10
Loxostege similalis,Loxostege similalis,0,19,5,5,10
Alsophila pometaria,Alsophila pometaria,0,19,5,5,10
Spodoptera exigua,Spodoptera exigua,0,17,5,5,10
heteropterous insect,heteropterous insect,0,20,5,5,10
four-lined plant bug,vierlijnige plantenwants,0,24,5,5,10
Asian tiger mosquito,Aziatische tijgermug,0,20,5,5,10
Mexican bean beetle,Mexicaanse bonenkever,0,21,5,5,10
Mastotermes darwiniensis,Mastotermes darwiniensis,0,24,5,5,10
dictyopterous insect,dictyopterous insect,0,20,5,5,10
seventeen-year locust,zeventienjarige sprinkhaan,0,26,5,5,10
powder-post termite,poeder-post termiet,0,19,4,5,9
red-spotted purple,rood-gevlekt paars,0,18,4,5,9
bald-faced hornet,kaalhoofdige horzel,0,19,4,5,9
Pulex irritans,Pulex irritans,0,14,5,4,9
psocopterous insect,psocopterous insect,0,19,4,5,9
pine spittlebug,pijnboom spittlebug,0,19,4,5,9
Paleacrita vernata,Paleacrita vernata,0,18,4,5,9
tea tortrix,thee schildpad,0,14,5,4,9
cuckoo-bumblebee,koekoek-hommel,0,14,5,4,9
Africanized bee,Afrikaanse bij,0,14,5,4,9
Dutch-elm beetle,Hollandse iepkever,0,18,4,5,9
leaf-cutting bee,bladsnijdende bij,0,17,4,5,9
common booklouse,gewone boekenluis,0,17,4,5,9
orange tortrix,oranje schildpad,0,16,5,4,9
Asian longhorned beetle,Aziatische boktor,0,17,4,5,9
green June beetle,groene junikever,0,16,5,4,9
Strymon melinus,Strymon melinus,0,15,5,4,9
human botfly,menselijke horzel,0,17,4,5,9
San Jose scale,San Jose schaal,0,15,5,4,9
Hessian fly,Hessische vlieg,0,15,5,4,9
yellow-fever mosquito,gele koorts mug,0,15,5,4,9
lamellicorn beetle,lamellicorn kever,0,17,4,5,9
dog-day cicada,hond-dag cicade,0,15,5,4,9
Polistes annularis,Polistes annularis,0,18,4,5,9
citrophilous mealybug,citrofiele wolluis,0,18,4,5,9
sheep botfly,schapen horzel,0,14,5,4,9
Italian bee,Italiaanse bij,0,14,5,4,9
hymenopterous insect,hymenopterous insect,0,20,4,5,9
short-horned grasshopper,korthoornige sprinkhaan,0,23,4,5,9
leaf-footed bug,bladvoetwants,0,13,5,4,9
Reticulitermes flanipes,Reticulitermes flanipes,0,23,4,5,9
Hippodamia convergens,Hippodamia convergeert,0,22,4,5,9
Japanese beetle,Japanse kever,0,13,5,4,9
Manduca sexta,Manduca sexta,0,13,5,4,9
Reticulitermes lucifugus,Reticulitermes lucifugus,0,24,4,5,9
jumping bristletail,springende borstelstaart,0,24,4,5,9
coccid insect,coccid insect,0,13,5,4,9
mantispid,bidsprinkhaan,0,13,5,4,9
trichopterous insect,trichopterous insect,0,20,4,5,9
tent-caterpillar moth,tent-rups mot,0,13,5,4,9
Mastotermes electromexicus,Mastotermes electromexicus,0,26,4,5,9
Spodoptera frugiperda,Spodoptera frugiperda,0,21,4,5,9
European house cricket,Europese huiscricket,0,20,4,5,9
Gelechia gossypiella,Gelechia gossypiella,0,20,4,5,9
angoumois moth,angoumois nachtvlinder,0,22,4,5,9
elaterid beetle,elaterid kever,0,14,5,4,9
Spanish fly,Spaanse Vlieg,0,13,5,4,9
Australian cockroach,Australische kakkerlak,0,22,4,5,9
woolly adelgid,wollige adelgid,27659,15,4,4,8
clerid beetle,clerid kever,0,12,5,3,8
Nomia melanderi,Nomia melanderi,0,15,4,4,8
melolonthid beetle,meloenthide kever,0,17,4,4,8
Carniolan bee,Carniolan bij,0,13,4,4,8
treehopper,boomspringer,0,12,5,3,8
brown lacewing,bruine gaasvlieg,27459,16,4,4,8
tent-caterpillar moth,tent-rups mot,0,13,5,3,8
American copper,Amerikaans koper,0,16,4,4,8
German cockroach,Duitse kakkerlak,0,16,4,4,8
green lacewing,groene gaasvlieg,27459,16,4,4,8
Hyphantria cunea,Hyphantria cunea,0,16,4,4,8
Comstock mealybug,Comstock wolluis,0,16,4,4,8
bristletail,borstelstaart,0,13,5,3,8
gold-tail moth,goudstaartmot,0,13,4,4,8
Formica fusca,Formica fusca,0,13,4,4,8
death's-head moth,doodshoofdmot,0,13,4,4,8
