Group,Level
5,12
0,12
1,28
6,32
11,38
38,40
24,41
16,42
13,42
21,44
22,46
12,46
9,46
25,46
3,47
2,47
7,50
26,51
15,55
19,55
4,55
31,59
10,60
39,61
17,62
23,62
18,64
8,65
37,72
27,72
48,75
35,76
28,77
36,77
40,78
29,83
30,87
51,90
41,90
42,91
47,96
62,100
14,101
54,102
44,103
20,104
43,106
55,107
32,107
61,107
46,111
63,112
56,113
74,115
65,115
69,117
53,119
52,121
73,122
66,122
57,122
50,122
58,124
33,125
68,126
45,127
49,127
60,128
67,129
59,130
77,131
64,132
78,134
75,135
81,136
76,137
72,139
80,140
79,145
71,146
84,147
82,148
89,151
92,154
34,154
70,155
85,160
91,160
83,161
87,162
90,162
88,164
86,165
106,165
104,165
103,165
102,166
101,166
105,166
108,166
107,166
99,166
109,167
110,167
111,167
112,167
113,167
114,167
100,167
97,167
98,168
93,169
94,169
95,170
96,170
