EngWord,NldWord,Freq,NldWordLength,FreqScore,LenScore,TotalScore
Chihuahuan spotted whiptail,Chihuahuan gevlekte zweepstaart,0,31,5,5,10
zebra-tailed lizard,hagedis met zebrastaart,0,23,5,5,10
Mononychus olecranus,Mononychus olecranus,0,20,5,5,10
horseshoe whipsnake,hoefijzer zweepslang,0,20,5,5,10
side-blotched lizard,side-blotched hagedis,0,21,5,5,10
African chameleon,Afrikaanse kameleon,0,19,5,5,10
American alligator,Amerikaanse alligator,0,21,5,5,10
African crocodile,Afrikaanse krokodil,0,19,5,5,10
Western diamondback,Westerse diamantrug,0,19,5,5,10
African coral snake,Afrikaanse koraalslang,0,22,5,5,10
Asian coral snake,Aziatische koraalslang,0,22,5,5,10
fringe-toed lizard,franjetoed hagedis,0,18,5,5,10
Western ribbon snake,Westerse lintslang,0,18,5,5,10
Atlantic ridley,Atlantische Ridley,0,18,5,5,10
soft-shelled turtle,schildpad met zachte schil,0,26,5,5,10
Australian coral snake,Australische koraalslang,0,24,5,5,10
California whipsnake,Californische zweepslang,0,24,5,5,10
Morlett's crocodile,Morlett's krokodil,0,18,5,5,10
American chameleon,Amerikaanse kameleon,0,20,5,5,10
pachycephalosaur,pachycephalosaurus,0,18,4,5,9
European tortoise,Europese schildpad,0,18,4,5,9
African monitor,Afrikaanse monitor,0,18,4,5,9
Texas tortoise,Texaanse schildpad,0,18,4,5,9
Chinese alligator,Chinese alligator,0,17,5,4,9
psittacosaur,psittacosauriër,0,15,5,4,9
Asian crocodile,Aziatische krokodil,0,19,4,5,9
anguid lizard,anguid hagedis,0,14,5,4,9
black-necked cobra,zwarthalscobra,0,14,5,4,9
Indian rat snake,Indiase rattenslang,0,19,4,5,9
Sonoran whipsnake,Sonora zweepslang,0,17,5,4,9
genus Argentinosaurus,geslacht Argentinosaurus,0,24,4,5,9
Lanthanotus borneensis,Lanthanotus borneensis,0,22,4,5,9
Australian blacksnake,Australische zwartslang,0,23,4,5,9
Texas horned lizard,Texas gehoornde hagedis,0,23,4,5,9
Chronoperates paradoxus,Chronopereert paradoxus,0,23,4,5,9
Western box turtle,Westerse doosschildpad,0,22,4,5,9
bone-headed dinosaur,dinosaurus met botten,0,21,4,5,9
leaf-nosed snake,bladneusslang,0,13,5,3,8
red-bellied snake,roodbuikslang,0,13,5,3,8
stegosaur,stegosauriër,0,12,5,3,8
ornithopod,ornithopoden,0,12,5,3,8
gaboon viper,schanskorf adder,0,16,4,4,8
diamondback terrapin,diamantrug moerasschildpad,236623,26,3,5,8
ornithischian,ornithischian,0,13,5,3,8
black-headed snake,zwartkopslang,0,13,5,3,8
amethystine python,amethist python,0,15,4,4,8
argentinosaur,argentinosaurus,0,15,4,4,8
staurikosaur,staurikosaurus,0,14,4,4,8
Indian cobra,Indiase cobra,0,13,5,3,8
dromaeosaur,dromaeosaurus,0,13,5,3,8
colubrid snake,colubrid-slang,0,14,4,4,8
plateau striped whiptail,plateau gestreepte zweepstaart,89196,30,3,5,8
stenopterygius,stenopterygius,0,14,4,4,8
Indian python,Indiase python,0,14,4,4,8
viperine grass snake,adderringslang,0,14,4,4,8
Komodo dragon,Komodovaraan,0,12,5,3,8
common kingsnake,gewone koningsslang,40507,19,3,5,8
lacertid lizard,lacertide hagedis,0,17,4,4,8
canebrake rattlesnake,rietrem ratelslang,16655,18,3,5,8
western whiptail,westerse zweepstaart,89196,20,3,5,8
titanosaur,titanosaurus,0,12,5,3,8
crocodilian reptile,krokodilachtig reptiel,23052,22,3,5,8
spiny softshell,stekelige softshell,115640,19,3,5,8
checkered whiptail,geruite zweepstaart,89196,19,3,5,8
earless lizard,hagedis zonder oren,15681,19,3,5,8
megalosaur,megalosaurus,0,12,5,3,8
ictodosaur,ictodosaurus,0,12,5,3,8
pelycosaur,pelycosaurus,0,12,5,3,8
oviraptorid,oviraptoride,0,12,5,3,8
plesiosaur,plesiosaurus,0,12,5,3,8
red-bellied terrapin,roodbuikschildpad,0,17,4,4,8
Mojave rattlesnake,Mojave ratelslang,0,17,4,4,8
Sonoran lyre snake,Sonora lier slang,0,17,4,4,8
struthiomimus,struthiomimus,0,13,5,3,8
ankylosaur,ankylosauriër,0,13,4,3,7
corythosaur,corythosaurus,0,13,4,3,7
fer-de-lance,fer-de-lance,0,12,4,3,7
pisanosaur,pisanosaurus,0,12,4,3,7
